Index,sentence_id,match_id,masked_text,form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,p_form_grammatical_nom,I_form_grammatical_nom,p_form_ungrammatical_dat,I_form_ungrammatical_dat,p_form_ungrammatical_erg,I_form_ungrammatical_erg
0,wiki_electricity_00993,6,"დამუხტული სხეულების ურთიერთქმედებას სწავლობს ფიზიკის [MASK] კლასიკური ელექტროდინამიკა, რომელიც სამართლიანია მანამ, სანამ კვანტური ეფექტები უმნიშვნელოა.",დარგი,დარგს,დარგმა,-450.45880585230907,450.45880585230907,-457.37021638735547,457.37021638735547,-458.2331203050227,458.2331203050227
1,wiki_engineering_01049,2,კომპიუტერული [MASK] უმეტესად სწავლობენ ელექტრო და პროგრამულ ინჟინერიას.,ინჟინრები,ინჟინრებს,ინჟინრებმა,-155.36676124413026,155.36676124413026,-147.33540716634926,147.33540716634926,-149.91987474224456,149.91987474224456
2,wiki_environment_01095,1,"[MASK] თავისი სამეურნეო საქმიანობით (ტყის გაშენებით ან გაჩეხვით, ჭაობების ამოშრობით, უდაბნოების მორწყვით და ა.შ.) სახეს უცვლის (გარკვეული ტერიტორიის ფარგლებში) ჰავას, რომელზედაც განსაკუთრებით უარყოფითად მოქმედებს ატმოსფეროს დაჭუჭყიანება.",ადამიანი,ადამიანს,ადამიანმა,-718.6065017896241,718.6065017896241,-759.2574743977036,759.2574743977036,-711.0660670277075,711.0660670277075
3,wiki_epidemiology_01113,1,"[MASK] „ეპიდემია“ გულისხმობს ინფეცქიური დაავადებების (გადამდები) სწრაფ მატებას ან იმ ახალი დაავადებების გავრცელებას, რომლებიც მანამდე არ გვხვდებოდა მოცემულ ტერიტორიაზე.",ტერმინი,ტერმინს,ტერმინმა,-419.5750173480985,419.5750173480985,-545.7208782353414,545.7208782353414,-486.9096700340713,486.9096700340713
4,wiki_ethics_01132,15,"ეთიკის კოდექსს არ გააჩნია კანონის ძალა და ემყარება ადამიანთა ჯგუფის მიერ დადგენილ წესებს, [MASK] თავის მხრივ ითვალისწინებენ საზოგადოებაში დადგენილ მორალურ წესებს და საერთაშორისოდ აღიარებულ ნორმებს ამა თუ იმ სფეროში.",რომლებიც,რომლებსაც,რომლებმაც,-435.54182481540767,435.54182481540767,-441.2151629303568,441.2151629303568,-440.0304490430457,440.0304490430457
5,wiki_ethics_01145,2,"ღირსების [MASK] მოქმედების მორალურ ღირებულებას პიროვნების ეთიკური გადმოსახედიდან აფასებს, არა როგორც დეონტოლოგია, კონსეკვენციალიზმი, ან პრაგმატული ეთიკა.",ეთიკა,ეთიკას,ეთიკამ,-555.1147572096562,555.1147572096562,-509.8558223751968,509.8558223751968,-546.5010805384418,546.5010805384418
6,wiki_ethnography_01152,3,"ამ სკოლის [MASK] კაცობრიობის კულტურას განიხილავდნენ როგორც პროგრესული განვითარების ერთიან, კანონზომიერ პროცესს.",წარმომადგენლები,წარმომადგენლებს,წარმომადგენლებმა,-212.43789774273645,212.43789774273645,-216.19279806270666,216.19279806270666,-209.5092930771859,209.5092930771859
7,wiki_ethnography_01165,1,[MASK] წარმოადგენს საქართველოს მინიატურულ მოდელს და ასახავს მის მრავალფეროვან ეთნოკულტურას.,მუზეუმი,მუზეუმს,მუზეუმმა,-194.83139111851432,194.83139111851432,-246.56983421574185,246.56983421574185,-195.7635480500915,195.7635480500915
8,wiki_history_01498,10,"სამეცნიერო დაწესებულება არის მეცნიერთა და სხვა პირთა გაერთიანება, [MASK] სამეცნიერო კვლევებს აწარმოებენ.",რომლებიც,რომლებსაც,რომლებმაც,-220.88569899535966,220.88569899535966,-222.94559403877915,222.94559403877915,-220.57424056558216,220.57424056558216
9,wiki_industry_01633,3,თურქეთის საავტომობილო [MASK] მნიშვნელოვან როლს თამაშობს ქვეყნის ეკონომიკის საწარმოო სექტორში.,მრეწველობა,მრეწველობას,მრეწველობამ,-109.23026599076299,109.23026599076299,-118.54023295353606,118.54023295353606,-126.9559163207526,126.9559163207526
