Index,sentence_id,match_id,masked_text,form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,p_form_grammatical_nom,I_form_grammatical_nom,p_form_ungrammatical_erg,I_form_ungrammatical_erg,p_form_ungrammatical_dat,I_form_ungrammatical_dat
0,wiki_cultural_00807,2,"ეს [MASK] ფილოსოფიურად განაზოგადა ჰეგელმა, რომლის მოღვაწეობა საფუძვლად დაედო კ. შნააზეს ისტორიად გააზრებულ მსოფლიო ხელოვნების ისტორიას.",წარმოდგენა,წარმოდგენას,წარმოდგენამ,-354.3145943316163,354.3145943316163,-338.72296688136083,338.72296688136083,-346.6244672303053,346.6244672303053
1,wiki_cybernetics_00852,12,"შეისწავლის შემეცნებით ფსიქიკურ პროცესებს, ფსიქოლოგიის ამ მიმართულების დაფუძნებას და გავრცელებას [MASK] შეუწყო კიბერნეტიკისა და ინფორმატიკის განვითარებამ.",ხელი,ხელს,ხელმა,-418.46363399952395,418.46363399952395,-415.1607952631234,415.1607952631234,-409.27778800207307,409.27778800207307
2,wiki_electrochemistry_01010,7,1838 რუსმა ფიზიკოსმა იაკობიმ აღმოაჩინა გალვანოპლასტიკის [MASK].,მოვლენები,მოვლენებს,მოვლენებმა,-237.87812056338672,237.87812056338672,-255.72618346290625,255.72618346290625,-241.6134867505927,241.6134867505927
3,wiki_electrochemistry_01013,7,1888–89 გერმანელმა ფიზიკოსმა და ქიმიკოსმა ნერნსტმა [MASK] ჩაუყარა გალვანური ელემენტის ემძ-ის თეორიას.,საფუძველი,საფუძველს,საფუძველმა,-392.0252310384783,392.0252310384783,-409.03337147296764,409.03337147296764,-401.87243060634654,401.87243060634654
4,wiki_energy_01034,1,"[MASK] „ბნელი მატერია“ ასტროფიზიკოსმა მაიკლ ტერნერმა დაამკვიდრა, როდესაც 1998 წელს ასტრონომებმა განაცხადეს, რომ სიჩქარე, რომლითაც სამყარო ფართოვდებოდა, როგორც ჩანს, აჩქარებას უნდა განიცდიდეს.",ტერმინი,ტერმინს,ტერმინმა,-608.3807678905663,608.3807678905663,-700.7460668527618,700.7460668527618,-697.9454950419984,697.9454950419984
5,wiki_ethics_01128,4,უფრო ადრე ეთიკის [MASK] გაარჩია პლატონმა.,საკითხები,საკითხებს,საკითხებმა,-115.27153084331115,115.27153084331115,-140.62305643411176,140.62305643411176,-121.40143767746568,121.40143767746568
6,wiki_ethics_01131,4,მანვე შემოგვინახა არსებითი [MASK] სოკრატეს ეთიკურ შეხედულებებზე.,ცნობები,ცნობებს,ცნობებმა,-239.75446881656268,239.75446881656268,-241.45437315721892,241.45437315721892,-238.4641895654722,238.4641895654722
7,wiki_farming_01202,10,"მეცხოველეობის წარმოშობა იმ პერიოდს უკავშირდება, როდესაც ადამიანმა გარეული [MASK] მოიშინაურა და სამეურნეო მიზნით გამოიყენა.",ცხოველები,ცხოველებს,ცხოველებმა,-286.4526763311029,286.4526763311029,-284.2119409144908,284.2119409144908,-291.58451919160296,291.58451919160296
8,wiki_forestry_01258,4,დედამიწის თანამედროვე ტყის [MASK] მნიშვნელოვნად შეცვალა ადამიანის ჩარევამ.,საფარი,საფარს,საფარმა,-90.83540204627899,90.83540204627899,-123.54947612537354,123.54947612537354,-119.65214050049028,119.65214050049028
9,wiki_geology_01375,3,ზღვის გეოლოგიას [MASK] ჩაუყარა 1872-1876 წლებში გემ „ჩელინჯერით“ ჩატარებულმა ინგლისურმა ოკეანოგრაფიულმა ექსპედიციამ.,საფუძველი,საფუძველს,საფუძველმა,-479.93125555010545,479.93125555010545,-439.6273812592643,439.6273812592643,-413.75962844383827,413.75962844383827
