Index,sentence_id,match_id,masked_text,form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,p_form_grammatical_nom,I_form_grammatical_nom,p_form_ungrammatical_erg,I_form_ungrammatical_erg,p_form_ungrammatical_dat,I_form_ungrammatical_dat,certainty
0,wiki_cultural_00807,2,"ეს [MASK] ფილოსოფიურად განაზოგადა ჰეგელმა, რომლის მოღვაწეობა საფუძვლად დაედო კ. შნააზეს ისტორიად გააზრებულ მსოფლიო ხელოვნების ისტორიას.",წარმოდგენა,წარმოდგენას,წარმოდგენამ,1.7867980659502804e-06,19.094191971158374,8.737697947385266e-09,26.770099619724082,1.6585680220336337e-10,32.489342766992976,0.68
1,wiki_cybernetics_00852,12,"შეისწავლის შემეცნებით ფსიქიკურ პროცესებს, ფსიქოლოგიის ამ მიმართულების დაფუძნებას და გავრცელებას [MASK] შეუწყო კიბერნეტიკისა და ინფორმატიკის განვითარებამ.",ხელი,ხელს,ხელმა,0.48410850763320923,1.0465976468104894,1.3310819298550172e-10,32.80668157510107,0.0023284622002393003,8.746406822718555,0.8
2,wiki_electrochemistry_01010,7,1838 რუსმა ფიზიკოსმა იაკობიმ აღმოაჩინა გალვანოპლასტიკის [MASK].,მოვლენები,მოვლენებს,მოვლენებმა,3.0921015747864524e-10,31.590693236650402,3.5235397932709036e-22,71.26539258021091,1.000000000000001e-12,39.86313713864835,0.71
3,wiki_electrochemistry_01013,7,1888–89 გერმანელმა ფიზიკოსმა და ქიმიკოსმა ნერნსტმა [MASK] ჩაუყარა გალვანური ელემენტის ემძ-ის თეორიას.,საფუძველი,საფუძველს,საფუძველმა,0.04139354452490806,4.594450398090806,2.9618755395169755e-07,21.686985645561208,3.862136145471595e-05,14.66024145231948,0.63
4,wiki_energy_01034,1,"[MASK] „ბნელი მატერია“ ასტროფიზიკოსმა მაიკლ ტერნერმა დაამკვიდრა, როდესაც 1998 წელს ასტრონომებმა განაცხადეს, რომ სიჩქარე, რომლითაც სამყარო ფართოვდებოდა, როგორც ჩანს, აჩქარებას უნდა განიცდიდეს.",ტერმინი,ტერმინს,ტერმინმა,0.9289032816886902,0.10639970526770001,1.1773020707102267e-07,23.01801213142832,9.576922459354223e-08,23.315862638204248,0.97
5,wiki_ethics_01128,4,უფრო ადრე ეთიკის [MASK] გაარჩია პლატონმა.,საკითხები,საკითხებს,საკითხებმა,9.563632374920415e-07,19.995937990150367,1.578950988214443e-13,42.52609884394452,3.0942583180149086e-06,18.301974926977216,0.73
6,wiki_ethics_01131,4,მანვე შემოგვინახა არსებითი [MASK] სოკრატეს ეთიკურ შეხედულებებზე.,ცნობები,ცნობებს,ცნობებმა,0.000855169142596424,10.191502582882862,1.171297908147641e-09,29.66924479612656,9.016200897595886e-09,26.724833192209903,0.81
7,wiki_farming_01202,10,"მეცხოველეობის წარმოშობა იმ პერიოდს უკავშირდება, როდესაც ადამიანმა გარეული [MASK] მოიშინაურა და სამეურნეო მიზნით გამოიყენა.",ცხოველები,ცხოველებს,ცხოველებმა,0.003402186091989278,8.199322229302329,2.7223313498354732e-11,35.09636636792899,1.0066888708352152e-10,33.209663078696174,0.72
8,wiki_forestry_01258,4,დედამიწის თანამედროვე ტყის [MASK] მნიშვნელოვნად შეცვალა ადამიანის ჩარევამ.,საფარი,საფარს,საფარმა,1.3480451343639298e-05,16.178771673738307,2.5101445458404794e-14,45.17922288473989,7.879914469124665e-13,40.206885263199155,0.8
9,wiki_geology_01375,3,ზღვის გეოლოგიას [MASK] ჩაუყარა 1872-1876 წლებში გემ „ჩელინჯერით“ ჩატარებულმა ინგლისურმა ოკეანოგრაფიულმა ექსპედიციამ.,საფუძველი,საფუძველს,საფუძველმა,0.030716156587004658,5.024858482171384,1.3144104144547364e-07,22.85908084787461,4.578018342726866e-05,14.41491723109147,0.68
