Index,sentence_id,match_id,masked_text,form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,p_form_grammatical_nom,I_form_grammatical_nom,p_form_ungrammatical_dat,I_form_ungrammatical_dat,p_form_ungrammatical_erg,I_form_ungrammatical_erg,certainty
0,wiki_cytology_00865,1,"[MASK] შედგება გარე შრისა და მის ქვეშ განლაგებული პლაზმური მემბრანისაგან, რომელიც უშუალოდ ციტოპლაზმას შემოსაზღვრავს.",იგი,მას,მან,3.573529738787327e-06,18.094218774944103,2.4010200831980897e-06,18.66792109836346,2.173977691199979e-06,18.81123143344851,0.63
1,wiki_economics_00942,13,"2007 წელი „ეკონომიკური ბუმის“ პერიოდი იყო, რადგანაც ეკონომიკის 12.3%-იანი [MASK] დაფიქსირდა.",ზრდა,ზრდას,ზრდამ,4.856619478035034e-12,37.58318468474662,2.042801280179613e-16,52.1203006499286,3.4577327295010204e-16,51.36102316012721,0.63
2,wiki_electrochemistry_01003,4,"ამ ამოცანების შესაბამისი [MASK] განიხილება ელექტროდიკაში, რომელიც სწავლობს ორი ფაზის საზღვარზე მიმდინარე მოვლენებს, ამ მოვლენების თერმოდინამიკას, ფაზათა საზღვრის აგებულებასა და ელექტროქიმიის კინეტიკის კანონებს.",თეორია,თეორიას,თეორიამ,2.2424956618830416e-18,58.6296005137247,2.875111879260985e-18,58.2710876112148,2.036991252002889e-18,58.768265923407135,0.63
3,wiki_engineering_01052,2,"კომპიუტერული [MASK] ძირითადად წერენ პროგრამებს მიკროკონტროლირებისა და მიკროპროცესორებისთვის, ქმნიან VLSI ჩიპებს, პლატებს და ოპერაციულ სისტემებს შესაბამისი მოწყობილებისთვის.",ინჟინრები,ინჟინრებს,ინჟინრებმა,5.898180286068114e-23,73.84407626135908,6.978626820859973e-23,73.60140299606473,6.098672980531953e-29,93.72741939310362,0.63
4,wiki_engineering_01065,5,"კომპიუტერული ინჟინერიის პირველი სასწავლო [MASK] 1972 წელს აშშ-ში, კლივლენდის ერთ-ერთ უნივერსიტეტში დამკვიდრდა.",პროგრამა,პროგრამას,პროგრამამ,4.899603088241929e-12,37.57047225591401,1.1236077443231818e-11,36.37307057055806,1.4939519128937346e-11,35.96207533214404,0.63
5,wiki_entomology_01072,6,"აქვთ 2 წყვილი ფრთა, [MASK] მთლიანად ან ნაწილობრივ დაფარულია ქერცლით, მწუწნავი პირის აპარატი (ხორთუმი).",რომლებიც,რომლებსაც,რომლებმაც,5.556966243602799e-06,17.457271092817447,5.880431254993019e-12,37.307215176337536,6.211215954164936e-11,33.90633331487725,0.63
6,wiki_epidemiology_01121,8,1992 წელს ჩამოყალიბდა განსაკუთრებით საშიში პათოგენების კვლევითი [MASK].,ცენტრი,ცენტრს,ცენტრმა,1.4791287412663234e-06,19.3668209412934,1.0807670832513792e-11,36.42915340324564,2.438185722420914e-12,38.57732911498287,0.63
7,wiki_ethics_01141,3,"ჟურნალისტთა ეთიკის [MASK], შექმნილია და მიღებულია 2001 წელს საქართველოს ჟურნალისტთა დამოუკიდებელი ასოციაციას მიერ.",კოდექსი,კოდექსს,კოდექსმა,9.337799820242463e-17,53.24969495205261,2.787647067319845e-22,71.60337016851733,7.669494999246777e-23,73.46521459634579,0.63
8,wiki_ethnography_01154,15,"ტერმინი „ეთნოგრაფია“ პირველად 1607 წელს იხმარეს, თუმცა ამ მეცნიერული დისციპლინის აღსანიშნავად [MASK] საბოლოოდ დღემდე არ დამკვიდრებულა.",იგი,მას,მან,1.520125465503952e-06,19.327378166056455,6.949880116735586e-06,17.134580477312888,5.076129241388119e-07,20.909767862657407,0.63
9,wiki_fantasy_01178,1,"[MASK] „ეპიკური ფენტეზი“ (ინგლ. high fantasy) პირველად 1971 წელს ლოიდ ალექსანდრის მიერ იქნა გამოყენებული, ესეში „ეპიკური ფენტეზი და ჰეროიკული რომანტიზმი“ (ინგლ. High Fantasy and Heroic Romance).",ტერმინი,ტერმინს,ტერმინმა,2.226345634174229e-12,38.70845955405451,4.740076369858085e-18,57.549795404644776,1.8954861490965114e-18,58.87213779364428,0.63
10,wiki_geochemistry_01318,1,"[MASK] ემიჯნება გეოლოგიურ, ფიზიკურ და ქიმიურ მეცნიერებებს და ბიოგეოქიმიის საშუალებით უკავშირდება ბიოლოგიას.",იგი,მას,მან,2.423435944365337e-06,18.654514619259626,1.3644170167026466e-06,19.48328391617943,1.6370265711884723e-06,19.220490830401094,0.63
11,wiki_geochemistry_01334,1,[MASK] გეოქიმია მეცნიერებაში შემოიტანა შვეიცარიელმა ქიმიკოსმა კრისტიან ფრიდრიხ შენბაინმა 1838 წ.,ტერმინი,ტერმინს,ტერმინმა,1.0492661741888547e-11,36.47182834156437,5.63922390394469e-17,53.97728098715857,6.915917564238502e-18,57.00478503540255,0.63
