Index,sentence_id,match_id,masked_text,form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,p_form_grammatical_nom,I_form_grammatical_nom,p_form_ungrammatical_erg,I_form_ungrammatical_erg,p_form_ungrammatical_dat,I_form_ungrammatical_dat,certainty
0,wiki_cultural_00807,2,"ეს [MASK] ფილოსოფიურად განაზოგადა ჰეგელმა, რომლის მოღვაწეობა საფუძვლად დაედო კ. შნააზეს ისტორიად გააზრებულ მსოფლიო ხელოვნების ისტორიას.",წარმოდგენა,წარმოდგენას,წარმოდგენამ,9.208281490927315e-17,53.269845676730824,4.750884204242917e-17,54.224581569460035,4.907165559659555e-17,54.1778876667105,0.63
1,wiki_cybernetics_00852,12,"შეისწავლის შემეცნებით ფსიქიკურ პროცესებს, ფსიქოლოგიის ამ მიმართულების დაფუძნებას და გავრცელებას [MASK] შეუწყო კიბერნეტიკისა და ინფორმატიკის განვითარებამ.",ხელი,ხელს,ხელმა,2.315602978342214e-05,15.398252557153315,9.21831094079473e-12,36.65863470692771,3.175106370922041e-12,38.196332213462405,0.63
2,wiki_electrochemistry_01010,7,1838 რუსმა ფიზიკოსმა იაკობიმ აღმოაჩინა გალვანოპლასტიკის [MASK].,მოვლენები,მოვლენებს,მოვლენებმა,8.60605889964844e-18,56.689352993884306,1.9967982015998083e-18,58.79701716801079,1.2561633280588296e-17,56.14375355549478,0.63
3,wiki_electrochemistry_01013,7,1888–89 გერმანელმა ფიზიკოსმა და ქიმიკოსმა ნერნსტმა [MASK] ჩაუყარა გალვანური ელემენტის ემძ-ის თეორიას.,საფუძველი,საფუძველს,საფუძველმა,3.564437366742918e-12,38.0294627680855,1.0370236614534503e-11,36.48876023170038,1.2466747914124996e-11,36.22312387210266,0.63
4,wiki_energy_01034,1,"[MASK] „ბნელი მატერია“ ასტროფიზიკოსმა მაიკლ ტერნერმა დაამკვიდრა, როდესაც 1998 წელს ასტრონომებმა განაცხადეს, რომ სიჩქარე, რომლითაც სამყარო ფართოვდებოდა, როგორც ჩანს, აჩქარებას უნდა განიცდიდეს.",ტერმინი,ტერმინს,ტერმინმა,1.0392048612991838e-11,36.4857289590598,5.223144318523663e-17,54.087859046318904,2.5289302255043447e-17,55.134250380238825,0.63
5,wiki_ethics_01128,4,უფრო ადრე ეთიკის [MASK] გაარჩია პლატონმა.,საკითხები,საკითხებს,საკითხებმა,1.078950733115108e-11,36.431580053553446,3.838113790980289e-12,37.922739653991194,1.9509193050002676e-11,35.57705493812752,0.63
6,wiki_ethics_01131,4,მანვე შემოგვინახა არსებითი [MASK] სოკრატეს ეთიკურ შეხედულებებზე.,ცნობები,ცნობებს,ცნობებმა,2.968679437357108e-17,54.902956295814356,9.855339774997486e-18,56.493800097154924,4.4204528557743134e-17,54.32858343819398,0.63
7,wiki_farming_01202,10,"მეცხოველეობის წარმოშობა იმ პერიოდს უკავშირდება, როდესაც ადამიანმა გარეული [MASK] მოიშინაურა და სამეურნეო მიზნით გამოიყენა.",ცხოველები,ცხოველებს,ცხოველებმა,1.1688734097740558e-17,56.24765892015349,3.923092880049997e-24,77.75428278536849,1.599991875712505e-17,55.79471303353442,0.63
8,wiki_forestry_01258,4,დედამიწის თანამედროვე ტყის [MASK] მნიშვნელოვნად შეცვალა ადამიანის ჩარევამ.,საფარი,საფარს,საფარმა,2.3528489459844723e-11,35.30680034192993,4.8555986187369e-17,54.19312844492879,1.7084227273556446e-12,39.090472143080135,0.63
9,wiki_geology_01375,3,ზღვის გეოლოგიას [MASK] ჩაუყარა 1872-1876 წლებში გემ „ჩელინჯერით“ ჩატარებულმა ინგლისურმა ოკეანოგრაფიულმა ექსპედიციამ.,საფუძველი,საფუძველს,საფუძველმა,1.0934224051672059e-11,36.41235820074352,1.5333462172175356e-11,35.924525561070475,2.101650176797846e-12,38.79161458837761,0.63
