Index,sentence_id,match_id,masked_text,form_grammatical_erg,form_ungrammatical_dat,form_ungrammatical_nom,p_form_grammatical_erg,I_form_grammatical_erg,p_form_ungrammatical_nom,I_form_ungrammatical_nom,p_form_ungrammatical_dat,I_form_ungrammatical_dat
0,wiki_customs_00832,2,"მისმა [MASK] შექმნა 20-ზე მეტი საბაჟო და 50 საბაჟო კონტროლის წერტილი, რათა თავიდან აიცილოს კონტრაბანდის შემოტანა და საბაჟო წესების დარღვევა.",სტრუქტურამ,სტრუქტურას,სტრუქტურა,-539.0403754459719,539.0403754459719,-502.3364358029857,502.3364358029857,-516.1922957263845,516.1922957263845
1,wiki_cybernetics_00852,17,"შეისწავლის შემეცნებით ფსიქიკურ პროცესებს, ფსიქოლოგიის ამ მიმართულების დაფუძნებას და გავრცელებას ხელი შეუწყო კიბერნეტიკისა და ინფორმატიკის [MASK].",განვითარებამ,განვითარებას,განვითარება,-533.3042491055355,533.3042491055355,-519.4874877086647,519.4874877086647,-529.5256949378088,529.5256949378088
2,wiki_energy_01027,7,"კინეტიკური ენერგიისა და პოტენციური ენერგიის გარჩევა [MASK] საკმაოდ დიდი ხნის წინ დაიწყეს, ჯერ კიდევ არისტოტელეს ჰქონდა კონცეფციები ე.წ. აქტუალურობისა და პოტენციურობისა.",მეცნიერებმა,მეცნიერებს,მეცნიერები,-758.3895595291913,758.3895595291913,-762.8405855356871,762.8405855356871,-761.6316402437867,761.6316402437867
3,wiki_ethics_01131,1,[MASK] შემოგვინახა არსებითი ცნობები სოკრატეს ეთიკურ შეხედულებებზე.,მანვე,მას,იგი,-310.65430186413096,310.65430186413096,-319.15726484966495,319.15726484966495,-318.25286842777064,318.25286842777064
4,wiki_farming_01202,8,"მეცხოველეობის წარმოშობა იმ პერიოდს უკავშირდება, როდესაც [MASK] გარეული ცხოველები მოიშინაურა და სამეურნეო მიზნით გამოიყენა.",ადამიანმა,ადამიანს,ადამიანი,-470.8641483020625,470.8641483020625,-444.4267172862042,444.4267172862042,-446.74080389326025,446.74080389326025
5,wiki_historiography_01456,1,"[MASK] ""სამართლიანად გამოიწვია შეშფოთება თანამედროვე მეცნიერებში"".",ამან,ამას,ეს,-240.58312090285978,240.58312090285978,-270.6493627749859,270.6493627749859,-264.57100222242985,264.57100222242985
6,wiki_hydrology_01568,10,"პრაქტიკული გამოყენება ჰპოვა სელური მოვლენებისა და მდინარეთა მყარი ჩამონადენის [MASK] (ი. ხერხეულიძე, მ. გაგოშიძე, გ. ხმალაძე და სხვ).",შესწავლამ,შესწავლას,შესწავლა,-538.394856683506,538.394856683506,-527.3191025004301,527.3191025004301,-537.024710177951,537.024710177951
7,wiki_irrigation_01719,13,"2008 წლის აგვისტოს ომის შემდეგ არხის სათავე ე.წ. სამხრეთ ოსეთის დე ფაქტო [MASK] გადაკეტა, რის შედეგადაც მრავალი სოფელი სარწყავი წყლის გარეშე დარჩა.",ხელისუფლებამ,ხელისუფლებას,ხელისუფლება,-747.3312572537707,747.3312572537707,-731.0538076077752,731.0538076077752,-751.389385223418,751.389385223418
8,wiki_law_01766,3,რომაულმა კერძო [MASK] საჯაროსთან შედარებით ბევრად მნიშვნელოვანი კვალი დატოვა სამართლის ისტორიაში.,სამართალმა,სამართალს,სამართალი,-297.88510254588687,297.88510254588687,-279.82310026080154,279.82310026080154,-277.6023640172159,277.6023640172159
9,wiki_literary_01821,3,თავდაპირველად ამ [MASK] პოპულარობა გერმანიაში მოიპოვა (მანამდე ფართოდ იყო გავრცელებული „ლიტერატურის ისტორია“).,ტერმინმა,ტერმინს,ტერმინი,-503.8335459533973,503.8335459533973,-488.0864422517098,488.0864422517098,-493.60884742734635,493.60884742734635
