Index,sentence_id,match_id,masked_text,form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,p_form_grammatical_nom,I_form_grammatical_nom,p_form_ungrammatical_erg,I_form_ungrammatical_erg,p_form_ungrammatical_dat,I_form_ungrammatical_dat,certainty
0,wiki_cultural_00807,2,"ეს [MASK] ფილოსოფიურად განაზოგადა ჰეგელმა, რომლის მოღვაწეობა საფუძვლად დაედო კ. შნააზეს ისტორიად გააზრებულ მსოფლიო ხელოვნების ისტორიას.",წარმოდგენა,წარმოდგენას,წარმოდგენამ,4.292620103348888e-08,24.473566259098206,5.823754159550018e-12,37.321187682885764,2.2113969723221836e-08,25.430466729605843,0.66
1,wiki_cybernetics_00852,12,"შეისწავლის შემეცნებით ფსიქიკურ პროცესებს, ფსიქოლოგიის ამ მიმართულების დაფუძნებას და გავრცელებას [MASK] შეუწყო კიბერნეტიკისა და ინფორმატიკის განვითარებამ.",ხელი,ხელს,ხელმა,0.9964375495910645,0.005148705998208013,3.7368685733323816e-10,31.317451124233337,0.003302108496427536,8.242396761416838,1.0
2,wiki_electrochemistry_01010,7,1838 რუსმა ფიზიკოსმა იაკობიმ აღმოაჩინა გალვანოპლასტიკის [MASK].,მოვლენები,მოვლენებს,მოვლენებმა,5.740177221014165e-05,14.088545195387521,3.9446728094931116e-10,31.239375307873843,4.694258217204084e-08,24.344527556685243,0.73
3,wiki_electrochemistry_01013,7,1888–89 გერმანელმა ფიზიკოსმა და ქიმიკოსმა ნერნსტმა [MASK] ჩაუყარა გალვანური ელემენტის ემძ-ის თეორიას.,საფუძველი,საფუძველს,საფუძველმა,5.387188890048751e-12,37.4336044876241,6.266799522038204e-13,40.5373363921867,3.738470752200649e-11,34.63876079755009,0.87
4,wiki_energy_01034,1,"[MASK] „ბნელი მატერია“ ასტროფიზიკოსმა მაიკლ ტერნერმა დაამკვიდრა, როდესაც 1998 წელს ასტრონომებმა განაცხადეს, რომ სიჩქარე, რომლითაც სამყარო ფართოვდებოდა, როგორც ჩანს, აჩქარებას უნდა განიცდიდეს.",ტერმინი,ტერმინს,ტერმინმა,2.588417737570122e-17,55.100707144407465,7.240283594001101e-18,56.93865950076817,5.0603198360477226e-18,57.45547713504948,1.0
5,wiki_ethics_01128,4,უფრო ადრე ეთიკის [MASK] გაარჩია პლატონმა.,საკითხები,საკითხებს,საკითხებმა,0.004568368662148715,7.77410520541654,3.718493208089516e-09,28.002634716952617,1.1933771642132105e-08,26.32037468342122,0.67
6,wiki_ethics_01131,4,მანვე შემოგვინახა არსებითი [MASK] სოკრატეს ეთიკურ შეხედულებებზე.,ცნობები,ცნობებს,ცნობებმა,9.102260805613805e-07,20.06727174000441,6.705174754744329e-11,33.79593411065919,8.776481506718795e-10,30.085638269953492,0.73
7,wiki_farming_01202,10,"მეცხოველეობის წარმოშობა იმ პერიოდს უკავშირდება, როდესაც ადამიანმა გარეული [MASK] მოიშინაურა და სამეურნეო მიზნით გამოიყენა.",ცხოველები,ცხოველებს,ცხოველებმა,0.014374038732325008,6.12039071110752,8.994652295233028e-06,16.76250105679001,6.505999659482332e-05,13.907869727567014,0.71
8,wiki_forestry_01258,4,დედამიწის თანამედროვე ტყის [MASK] მნიშვნელოვნად შეცვალა ადამიანის ჩარევამ.,საფარი,საფარს,საფარმა,7.727238167485515e-09,26.947399988871695,2.537832692269984e-08,25.231827797086375,3.0598619439240144e-12,38.249670576354376,0.74
9,wiki_geology_01375,3,ზღვის გეოლოგიას [MASK] ჩაუყარა 1872-1876 წლებში გემ „ჩელინჯერით“ ჩატარებულმა ინგლისურმა ოკეანოგრაფიულმა ექსპედიციამ.,საფუძველი,საფუძველს,საფუძველმა,2.0574566392121408e-11,35.50034701751399,5.126135409187266e-13,40.8271936449603,4.95740764171095e-11,34.23162314898448,0.8
10,wiki_hydrology_01568,2,"პრაქტიკული [MASK] ჰპოვა სელური მოვლენებისა და მდინარეთა მყარი ჩამონადენის შესწავლამ (ი. ხერხეულიძე, მ. გაგოშიძე, გ. ხმალაძე და სხვ).",გამოყენება,გამოყენებას,გამოყენებამ,0.0019855422433465724,8.976251229456569,2.9626316946318644e-05,15.042761188453117,0.0015572552772546435,9.326778823198612,0.75
11,wiki_hydrology_01572,3,"დედამიწის ბუნებრივი [MASK] მხოლოდ ადამიანთა საზოგადოების გაჩენამ (ადრინდელი პალეოლითი) აქცია გეოგრაფიულ გარემოდ და ისიც მხოლოდ იმ ტერიტორიაზე, სადაც საზოგადოება ცხოვრობდა.",გარემო,გარემოს,გარემომ,0.03402020409703255,4.87746439360313,0.0016111007759418007,9.27773754579807,0.07021781802177428,3.832019023776437,0.69
12,wiki_industry_01622,13,"1913 წელს უკვე ფუნქციონირებდა 5 ფაბრიკა, რომლებმაც გამოიმუშავა 131 ტ ბაიხაოს [MASK].",ჩაი,ჩაის,ჩაიმ,0.0008348514093086122,10.22619293660926,4.665847641569073e-06,17.70942937094794,1.1365299302010122e-07,23.068860986581072,0.74
13,wiki_irrigation_01719,7,"2008 წლის აგვისტოს ომის შემდეგ არხის [MASK] ე.წ. სამხრეთ ოსეთის დე ფაქტო ხელისუფლებამ გადაკეტა, რის შედეგადაც მრავალი სოფელი სარწყავი წყლის გარეშე დარჩა.",სათავე,სათავეს,სათავემ,1.0877433155003946e-10,33.09794279774932,1.417911506156735e-15,49.325153928541724,6.495619848712607e-13,40.48559803118894,0.76
14,wiki_literature_01851,2,"ლიტერატურული [MASK], რომელსაც ევალება მწერალთათვის ყოველნაირი მატერიალურ-საყოფაცხოვრებო დახმარების აღმოჩენა, 1927 წელს ხელახლა ჩამოაყალიბა საბჭოთა მწერლების გაერთიანებათა ფედერაციამ, ხოლო 1934 — სსრკ მწერალთა კავშირმა.",ფონდი,ფონდს,ფონდმა,0.14532369375228882,2.7826581539801447,2.6527188520437497e-05,15.20216869455651,0.00027661582235596714,11.819828698904745,0.74
15,wiki_marketing_01927,11,"გამოკვლევების მიხედვით, აშშ-ის ფირმებმა 2011 წელს 1.51 მილიარდი აშშ [MASK] დახარჯეს E-mail მარკეტინგზე.",დოლარი,დოლარს,დოლარმა,0.9941797256469727,0.008421412253404523,1.1502306587752083e-09,29.695429656379,5.040579765245599e-08,24.241835077687146,1.0
16,wiki_marketing_01928,3,"ღია ვაჭრობამ [MASK] კიდევ ერთხელ 1920-იან წლებში დაიწყო, თუმცა დიდი დეპრესიის დროს კოლაფსი განიცადა (კონკრეტულად, ევროპასა და ჩრდილოეთ ამერიკაში).",ზრდა,ზრდას,ზრდამ,0.0006952506955713033,10.49017909661644,8.647556119155582e-06,16.81927609818596,8.211022770576373e-05,13.57207853816611,0.79
17,wiki_mechanics_01979,3,მექანიკამ დასრულებული [MASK] მიიღო ისააკ ნიუტონის შრომებში.,სახე,სახეს,სახემ,0.0043309046886861316,7.851115861661571,5.554941824406118e-06,17.45779676663515,1.3902613427488266e-05,16.134284366705653,0.8
18,wiki_medicine_02020,19,"ბუნებისმეტყველებისა და ტექნიკის მიღწევებმა, კლინიკურ-ანატომიური და კლინიკურ-ექსპერიმენტული მიმართულებების განვითარებამ, ავადმყოფობის კვლევის ობიექტურმა მეთოდებმა განაპირობებს მეცნიერული მედიცინის [MASK].",ჩამოყალიბება,ჩამოყალიბებას,ჩამოყალიბებამ,1.1474142291658133e-06,19.73318225514647,4.247033965437771e-09,27.81089720737472,2.4239396814249102e-05,15.332286675952634,0.94
19,wiki_metallurgy_02045,4,ლითონმცოდნეობის დამოუკიდებელ მეცნიერებად [MASK] განაპირობა ტექნიკურმა მოთხოვნებმა.,ჩამოყალიბება,ჩამოყალიბებას,ჩამოყალიბებამ,4.7194691734316226e-05,14.371015874155702,3.1656257546620455e-06,18.2690778614824,2.487582056162791e-06,18.616824453691358,0.71
20,wiki_metaphysics_02067,6,"პარმენიდემ ვერ შეძლო ბუნების მრავალფეროვნების [MASK], არსის მეტაფიზიკა დაუპირისპირა ფიზიკას, როგორც ბუნების ფილოსოფიას.",ახსნა,ახსნას,ახსნამ,3.135361476235495e-05,14.961008693320409,7.405958319711339e-08,23.686738328967557,7.031220157863474e-06,17.117793501228025,0.8
21,wiki_mineralogy_02109,8,1635 წელს იტალიელმა მეცნიერმა ბ. ცეზიუსმა შემოიღო [MASK] „მინერალოგია“.,ტერმინი,ტერმინს,ტერმინმა,0.07248072047613797,3.7862588935767625,2.9963717955642104e-06,18.34835192205043,1.8819035649206149e-06,19.0193758679184,0.92
22,wiki_mineralogy_02115,5,მინერალოგიური შინაარსის უძველესი წერილობითი [MASK] - ეპიფანე კვიპრელის (319-403) მინერალოგიური ტრაქტატის თარგმანი „თვალთა“ — შემოგვინახა „შატბერდის კრებულმა“ (X ს.).,წყარო,წყაროს,წყარომ,0.4206693172454834,1.2492415001514061,0.0015717429200093336,9.313419020219442,0.07012884338001514,3.8338482556277045,0.84
23,wiki_molecular_02137,18,50-იანი წლების ბოლოს ინგლისელმა მეცნიერმა ჯ. კენდრიუმ და მ. პერუციმ რენტგენოსტრუქტურული ანალიზით დაადგინეს მიოგლობინისა და ჰემოგლობინის სამგანზომილებიანი [MASK].,სტრუქტურა,სტრუქტურას,სტრუქტურამ,3.395928576171218e-05,14.845834358268824,7.780458303716015e-10,30.259425809982936,1.0437256228573176e-08,26.51368225654795,0.77
24,wiki_morphology_02147,1,"[MASK] „მორფოლოგია“ მეცნიერებაში დაამკვიდრა იოჰან ვოლფგანგ ფონ გოეთემ[1], როდესაც გამოაქვეყნა შრომა სახელწოდებით „მცენარეთა მეტამორფოზების ახსნის ცდა“.",ტერმინი,ტერმინს,ტერმინმა,2.329674089196487e-18,58.57457756544798,2.0614038476196617e-18,58.751078538426114,1.6184527567020325e-18,59.10009045466916,1.0
25,wiki_morphology_02161,2,გეომორფოლოგიური [MASK] (მორფოლოგიური ანალიზი) შემოგვთავაზა გერმანელმა გეოლოგმა და გეომორფოლოგმა ვალტერ პენკმა 1924 წელს.,ანალიზი,ანალიზს,ანალიზმა,0.035775192081928246,4.804896676773826,7.040391931146351e-08,23.75976901469907,3.407824562255981e-08,24.806573692806907,0.81
