Index,sentence_id,match_id,masked_text,form_grammatical_dat,form_ungrammatical_nom,form_ungrammatical_erg,p_form_grammatical_dat,I_form_grammatical_dat,p_form_ungrammatical_nom,I_form_ungrammatical_nom,p_form_ungrammatical_erg,I_form_ungrammatical_erg
0,wiki_cultural_00812,6,"კულტურათა ურთიერთქმედება ეწოდება უშუალო კავშირურთიერთობის [MASK], რომელიც ყალიბდება, სულ მცირე, ორ კულტურას შორის, აგრეთვე ამ ურთიერთობათა შედეგად წარმოშობილ გავლენებსა და ორმხრივ ცვლილებებს.",სახეს,სახე,სახემ,-653.7285082478913,653.7285082478913,-641.4677429210066,641.4677429210066,-650.1804965755483,650.1804965755483
1,wiki_customs_00815,4,აზერბაიჯანის სახელმწიფო საბაჟო [MASK] (აზერ. Azərbaycan Respublikası Dövlət Gömrük Komitəsi) ეკისრება იმპორტ-ექსპორტის ოპერაციების საბაჟო კონტროლი და საბაჟო ორგანიზაციების ფუნქციები აზერბაიჯანის რესპუბლიკაში.,კომიტეტს,კომიტეტი,კომიტეტმა,-811.9704156056708,811.9704156056708,-800.8025852141079,800.8025852141079,-816.9637263959615,816.9637263959615
2,wiki_cybernetics_00837,3,"გამოყენებითი ეწოდება [MASK], რომელიც პრაქტიკულ საქმიანობაში და ტექნოლოგიური პროცესების განხორციელებისას იყენებს თეორიულ მეცნიერულ ცოდნას.",მეცნიერებას,მეცნიერება,მეცნიერებამ,-402.876243737024,402.876243737024,-403.8068923345481,403.8068923345481,-413.60969136739124,413.60969136739124
3,wiki_cybernetics_00846,25,"ხელოვნური ინტელექტი (ინგლ. artificial intelligence, შემოკლებით AI) — კომპიუტერული მეცნიერების დარგი, რომელიც მიზნად ისახავს ინტელექტუალურ კომპიუტერულ მანქანის/პროგრამის შექმნას [MASK] ექნება უნარი მიაღწიოს ადამიანის ინტელექტის გაგებას.",რომელსაც,რომელიც,რომელმაც,-1114.2848234831945,1114.2848234831945,-1114.4464400103143,1114.4464400103143,-1112.9483067836914,1112.9483067836914
4,wiki_documentary_00893,2,მუშნის [MASK] აზრი ეკარგება და იგი ნოსტალგიით იტანჯება.,არსებობას,არსებობა,არსებობამ,-288.054671763874,288.054671763874,-279.1155181437745,279.1155181437745,-295.7914645680178,295.7914645680178
5,wiki_documentary_00900,1,[MASK] ეკუთვნის ასევე დოკუმენტური მოთხრობა „ახალი ბაღი“ (1936) და დაუმთავრებელი რომანი „ოქროს საწმისი“ (ნაწყვეტები გამოქვეყნდა 1941 წელს).,მას,იგი,მან,-535.6667481129545,535.6667481129545,-557.6291336093435,557.6291336093435,-544.4937727987736,544.4937727987736
6,wiki_education_00955,1,[MASK] საქართველოში დიდი ისტორია აქვს.,განათლებას,განათლება,განათლებამ,-77.33367143027724,77.33367143027724,-67.81940953250599,67.81940953250599,-84.48790901918751,84.48790901918751
7,wiki_electricity_00985,6,"სადენების, ნათურისა და ბატარეის [MASK] ელექტრული წრედი ჰქვია.",მთლიანობას,მთლიანობა,მთლიანობამ,-342.99292613448085,342.99292613448085,-341.5424686515754,341.5424686515754,-353.0754422510693,353.0754422510693
8,wiki_energy_01027,16,"კინეტიკური ენერგიისა და პოტენციური ენერგიის გარჩევა მეცნიერებმა საკმაოდ დიდი ხნის წინ დაიწყეს, ჯერ კიდევ [MASK] ჰქონდა კონცეფციები ე.წ. აქტუალურობისა და პოტენციურობისა.",არისტოტელეს,არისტოტელე,არისტოტელემ,-758.3895595291913,758.3895595291913,-754.7953085649114,754.7953085649114,-765.1729036793498,765.1729036793498
9,wiki_energy_01040,2,"იონიზაციის [MASK] ყოველთვის აქვს ენდოენერგეტიკული მნიშვნელობა (ეს გასაგებიცაა, რათა მოვწყვიტოთ ელექტრონი ატომს, საჭიროა მოვდოთ ენერგია მას, და თავისით ეს ვერ მოხდება).",ენერგიას,ენერგია,ენერგიამ,-718.8306892941813,718.8306892941813,-705.7708638043414,705.7708638043414,-717.68332362855,717.68332362855
