Index,sentence_id,match_id,masked_text,form_grammatical_erg,form_ungrammatical_dat,form_ungrammatical_nom,p_form_grammatical_erg,I_form_grammatical_erg,p_form_ungrammatical_nom,I_form_ungrammatical_nom,p_form_ungrammatical_dat,I_form_ungrammatical_dat
0,wiki_customs_00832,2,"მისმა [MASK] შექმნა 20-ზე მეტი საბაჟო და 50 საბაჟო კონტროლის წერტილი, რათა თავიდან აიცილოს კონტრაბანდის შემოტანა და საბაჟო წესების დარღვევა.",სტრუქტურამ,სტრუქტურას,სტრუქტურა,-616.2498207189419,616.2498207189419,-633.6469368453473,633.6469368453473,-623.9852896924745,623.9852896924745
1,wiki_cybernetics_00852,17,"შეისწავლის შემეცნებით ფსიქიკურ პროცესებს, ფსიქოლოგიის ამ მიმართულების დაფუძნებას და გავრცელებას ხელი შეუწყო კიბერნეტიკისა და ინფორმატიკის [MASK].",განვითარებამ,განვითარებას,განვითარება,-594.4429844699604,594.4429844699604,-578.5045773271632,578.5045773271632,-592.9772452224412,592.9772452224412
2,wiki_energy_01027,7,"კინეტიკური ენერგიისა და პოტენციური ენერგიის გარჩევა [MASK] საკმაოდ დიდი ხნის წინ დაიწყეს, ჯერ კიდევ არისტოტელეს ჰქონდა კონცეფციები ე.წ. აქტუალურობისა და პოტენციურობისა.",მეცნიერებმა,მეცნიერებს,მეცნიერები,-981.849668694492,981.849668694492,-983.6780163875461,983.6780163875461,-987.2641442437827,987.2641442437827
3,wiki_ethics_01131,1,[MASK] შემოგვინახა არსებითი ცნობები სოკრატეს ეთიკურ შეხედულებებზე.,მანვე,მას,იგი,-325.9290928689579,325.9290928689579,-339.3618216342127,339.3618216342127,-346.7714665486677,346.7714665486677
4,wiki_farming_01202,8,"მეცხოველეობის წარმოშობა იმ პერიოდს უკავშირდება, როდესაც [MASK] გარეული ცხოველები მოიშინაურა და სამეურნეო მიზნით გამოიყენა.",ადამიანმა,ადამიანს,ადამიანი,-659.0336080833937,659.0336080833937,-645.559145270035,645.559145270035,-642.2487012376083,642.2487012376083
5,wiki_historiography_01456,1,"[MASK] ""სამართლიანად გამოიწვია შეშფოთება თანამედროვე მეცნიერებში"".",ამან,ამას,ეს,-273.22900558862284,273.22900558862284,-267.18491132299863,267.18491132299863,-285.3640496298777,285.3640496298777
6,wiki_hydrology_01568,10,"პრაქტიკული გამოყენება ჰპოვა სელური მოვლენებისა და მდინარეთა მყარი ჩამონადენის [MASK] (ი. ხერხეულიძე, მ. გაგოშიძე, გ. ხმალაძე და სხვ).",შესწავლამ,შესწავლას,შესწავლა,-660.9659953164412,660.9659953164412,-635.6973977857508,635.6973977857508,-658.7295373139536,658.7295373139536
7,wiki_irrigation_01719,13,"2008 წლის აგვისტოს ომის შემდეგ არხის სათავე ე.წ. სამხრეთ ოსეთის დე ფაქტო [MASK] გადაკეტა, რის შედეგადაც მრავალი სოფელი სარწყავი წყლის გარეშე დარჩა.",ხელისუფლებამ,ხელისუფლებას,ხელისუფლება,-767.8797239288734,767.8797239288734,-748.1675230451738,748.1675230451738,-769.6757681549741,769.6757681549741
8,wiki_law_01766,3,რომაულმა კერძო [MASK] საჯაროსთან შედარებით ბევრად მნიშვნელოვანი კვალი დატოვა სამართლის ისტორიაში.,სამართალმა,სამართალს,სამართალი,-381.2514538286678,381.2514538286678,-328.12519191236146,328.12519191236146,-324.6856248034916,324.6856248034916
9,wiki_literary_01821,3,თავდაპირველად ამ [MASK] პოპულარობა გერმანიაში მოიპოვა (მანამდე ფართოდ იყო გავრცელებული „ლიტერატურის ისტორია“).,ტერმინმა,ტერმინს,ტერმინი,-543.9819806325917,543.9819806325917,-542.4296614146234,542.4296614146234,-550.3782849199694,550.3782849199694
