Index,sentence_id,match_id,masked_text,form_grammatical_erg,form_ungrammatical_dat,form_ungrammatical_nom,p_form_grammatical_erg,I_form_grammatical_erg,p_form_ungrammatical_nom,I_form_ungrammatical_nom,p_form_ungrammatical_dat,I_form_ungrammatical_dat,certainty
0,wiki_customs_00832,2,"მისმა [MASK] შექმნა 20-ზე მეტი საბაჟო და 50 საბაჟო კონტროლის წერტილი, რათა თავიდან აიცილოს კონტრაბანდის შემოტანა და საბაჟო წესების დარღვევა.",სტრუქტურამ,სტრუქტურას,სტრუქტურა,5.082255247974006e-09,27.551884019771915,1.0434153215454089e-09,29.836039330770294,4.907881801708884e-10,30.924180444400477,0.77
1,wiki_cybernetics_00852,17,"შეისწავლის შემეცნებით ფსიქიკურ პროცესებს, ფსიქოლოგიის ამ მიმართულების დაფუძნებას და გავრცელებას ხელი შეუწყო კიბერნეტიკისა და ინფორმატიკის [MASK].",განვითარებამ,განვითარებას,განვითარება,0.004887527817719198,7.6766793710152275,0.026142058894038197,5.25748342051414,0.010190446777349316,6.616638885146728,0.77
2,wiki_energy_01027,7,"კინეტიკური ენერგიისა და პოტენციური ენერგიის გარჩევა [MASK] საკმაოდ დიდი ხნის წინ დაიწყეს, ჯერ კიდევ არისტოტელეს ჰქონდა კონცეფციები ე.წ. აქტუალურობისა და პოტენციურობისა.",მეცნიერებმა,მეცნიერებს,მეცნიერები,3.371203160597544e-08,24.822161187263333,1.2476110136854797e-11,36.22204085002791,1.131521138105413e-11,36.362945507715615,0.77
3,wiki_ethics_01131,1,[MASK] შემოგვინახა არსებითი ცნობები სოკრატეს ეთიკურ შეხედულებებზე.,მანვე,მას,იგი,1.045177014305802e-11,36.477461741613524,3.2544436034953556e-09,28.194941940116664,5.70409710576314e-08,24.063426216866457,0.99
4,wiki_farming_01202,8,"მეცხოველეობის წარმოშობა იმ პერიოდს უკავშირდება, როდესაც [MASK] გარეული ცხოველები მოიშინაურა და სამეურნეო მიზნით გამოიყენა.",ადამიანმა,ადამიანს,ადამიანი,1.2816882750908267e-05,16.25159505387314,0.13409855961799624,2.8986343538652144,0.10456243157386778,3.2575634987296413,0.75
5,wiki_historiography_01456,1,"[MASK] ""სამართლიანად გამოიწვია შეშფოთება თანამედროვე მეცნიერებში"".",ამან,ამას,ეს,5.5948610722929907e-14,44.02289102077858,3.389079381577175e-07,21.492603235100905,2.679580290987358e-08,25.15341771346439,0.99
6,wiki_hydrology_01568,10,"პრაქტიკული გამოყენება ჰპოვა სელური მოვლენებისა და მდინარეთა მყარი ჩამონადენის [MASK] (ი. ხერხეულიძე, მ. გაგოშიძე, გ. ხმალაძე და სხვ).",შესწავლამ,შესწავლას,შესწავლა,1.164289633620239e-08,26.355974765277235,1.8382683583337043e-06,19.053221176485987,8.150033170611438e-09,26.87054692286595,0.85
7,wiki_irrigation_01719,13,"2008 წლის აგვისტოს ომის შემდეგ არხის სათავე ე.წ. სამხრეთ ოსეთის დე ფაქტო [MASK] გადაკეტა, რის შედეგადაც მრავალი სოფელი სარწყავი წყლის გარეშე დარჩა.",ხელისუფლებამ,ხელისუფლებას,ხელისუფლება,0.0368715949850349,4.761346364142299,0.03703365847468377,4.755019112515501,8.061905997584173e-05,13.598519513079845,0.85
8,wiki_law_01766,3,რომაულმა კერძო [MASK] საჯაროსთან შედარებით ბევრად მნიშვნელოვანი კვალი დატოვა სამართლის ისტორიაში.,სამართალმა,სამართალს,სამართალი,4.0015026431805546e-11,34.540667181566604,7.181359164627409e-09,27.053095935495456,7.897084539033462e-09,26.916032719354085,0.79
9,wiki_literary_01821,3,თავდაპირველად ამ [MASK] პოპულარობა გერმანიაში მოიპოვა (მანამდე ფართოდ იყო გავრცელებული „ლიტერატურის ისტორია“).,ტერმინმა,ტერმინს,ტერმინი,0.00020576552600957642,12.246711086438726,2.813079453528452e-06,18.439418268149456,2.076649450806799e-06,18.87731086699121,0.77
