Index,sentence_id,match_id,masked_text,form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,p_form_grammatical_nom,I_form_grammatical_nom,p_form_ungrammatical_dat,I_form_ungrammatical_dat,p_form_ungrammatical_erg,I_form_ungrammatical_erg
0,wiki_cytology_00865,1,"[MASK] შედგება გარე შრისა და მის ქვეშ განლაგებული პლაზმური მემბრანისაგან, რომელიც უშუალოდ ციტოპლაზმას შემოსაზღვრავს.",იგი,მას,მან,-503.2873872153753,503.2873872153753,-502.2475911053156,502.2475911053156,-503.31495775704036,503.31495775704036
1,wiki_economics_00942,13,"2007 წელი „ეკონომიკური ბუმის“ პერიოდი იყო, რადგანაც ეკონომიკის 12.3%-იანი [MASK] დაფიქსირდა.",ზრდა,ზრდას,ზრდამ,-358.30790007726637,358.30790007726637,-367.2706732319078,367.2706732319078,-368.30043519808515,368.30043519808515
2,wiki_electrochemistry_01003,4,"ამ ამოცანების შესაბამისი [MASK] განიხილება ელექტროდიკაში, რომელიც სწავლობს ორი ფაზის საზღვარზე მიმდინარე მოვლენებს, ამ მოვლენების თერმოდინამიკას, ფაზათა საზღვრის აგებულებასა და ელექტროქიმიის კინეტიკის კანონებს.",თეორია,თეორიას,თეორიამ,-953.9731333656705,953.9731333656705,-954.2320173813985,954.2320173813985,-957.4553937527716,957.4553937527716
3,wiki_engineering_01052,2,"კომპიუტერული [MASK] ძირითადად წერენ პროგრამებს მიკროკონტროლირებისა და მიკროპროცესორებისთვის, ქმნიან VLSI ჩიპებს, პლატებს და ოპერაციულ სისტემებს შესაბამისი მოწყობილებისთვის.",ინჟინრები,ინჟინრებს,ინჟინრებმა,-795.1756370839631,795.1756370839631,-793.5771348487287,793.5771348487287,-802.453255747885,802.453255747885
4,wiki_engineering_01065,5,"კომპიუტერული ინჟინერიის პირველი სასწავლო [MASK] 1972 წელს აშშ-ში, კლივლენდის ერთ-ერთ უნივერსიტეტში დამკვიდრდა.",პროგრამა,პროგრამას,პროგრამამ,-497.5376122527921,497.5376122527921,-505.2412741935227,505.2412741935227,-507.10154697224937,507.10154697224937
5,wiki_entomology_01072,6,"აქვთ 2 წყვილი ფრთა, [MASK] მთლიანად ან ნაწილობრივ დაფარულია ქერცლით, მწუწნავი პირის აპარატი (ხორთუმი).",რომლებიც,რომლებსაც,რომლებმაც,-432.38868045366456,432.38868045366456,-455.54009303736694,455.54009303736694,-464.2986221140744,464.2986221140744
6,wiki_epidemiology_01121,8,1992 წელს ჩამოყალიბდა განსაკუთრებით საშიში პათოგენების კვლევითი [MASK].,ცენტრი,ცენტრს,ცენტრმა,-311.8705348912531,311.8705348912531,-340.11220114181623,340.11220114181623,-339.5087086911317,339.5087086911317
7,wiki_ethics_01141,3,"ჟურნალისტთა ეთიკის [MASK], შექმნილია და მიღებულია 2001 წელს საქართველოს ჟურნალისტთა დამოუკიდებელი ასოციაციას მიერ.",კოდექსი,კოდექსს,კოდექსმა,-458.5496489240395,458.5496489240395,-465.8067574945599,465.8067574945599,-465.8474024740277,465.8474024740277
8,wiki_ethnography_01154,15,"ტერმინი „ეთნოგრაფია“ პირველად 1607 წელს იხმარეს, თუმცა ამ მეცნიერული დისციპლინის აღსანიშნავად [MASK] საბოლოოდ დღემდე არ დამკვიდრებულა.",იგი,მას,მან,-545.0188187881827,545.0188187881827,-546.5636550983361,546.5636550983361,-543.9187256732466,543.9187256732466
9,wiki_fantasy_01178,1,"[MASK] „ეპიკური ფენტეზი“ (ინგლ. high fantasy) პირველად 1971 წელს ლოიდ ალექსანდრის მიერ იქნა გამოყენებული, ესეში „ეპიკური ფენტეზი და ჰეროიკული რომანტიზმი“ (ინგლ. High Fantasy and Heroic Romance).",ტერმინი,ტერმინს,ტერმინმა,-738.6994076716372,738.6994076716372,-766.3217433264728,766.3217433264728,-774.6422253609504,774.6422253609504
