Index,sentence_id,match_id,masked_text,form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,p_form_grammatical_nom,I_form_grammatical_nom,p_form_ungrammatical_dat,I_form_ungrammatical_dat,p_form_ungrammatical_erg,I_form_ungrammatical_erg,certainty
0,wiki_cytology_00865,1,"[MASK] შედგება გარე შრისა და მის ქვეშ განლაგებული პლაზმური მემბრანისაგან, რომელიც უშუალოდ ციტოპლაზმას შემოსაზღვრავს.",იგი,მას,მან,7.772868002575711e-07,20.295049647347952,4.7639069578053704e-08,24.32327952239217,9.604739226176655e-09,26.633606409508154,1.0
1,wiki_economics_00942,13,"2007 წელი „ეკონომიკური ბუმის“ პერიოდი იყო, რადგანაც ეკონომიკის 12.3%-იანი [MASK] დაფიქსირდა.",ზრდა,ზრდას,ზრდამ,4.4994190821005315e-05,14.439901726655151,1.3394399294932082e-06,19.50993868793152,9.266833994505979e-07,20.041420136643545,0.78
2,wiki_electrochemistry_01003,4,"ამ ამოცანების შესაბამისი [MASK] განიხილება ელექტროდიკაში, რომელიც სწავლობს ორი ფაზის საზღვარზე მიმდინარე მოვლენებს, ამ მოვლენების თერმოდინამიკას, ფაზათა საზღვრის აგებულებასა და ელექტროქიმიის კინეტიკის კანონებს.",თეორია,თეორიას,თეორიამ,4.301130548196257e-10,31.114565028152086,1.5859012828664987e-11,35.875906072940666,3.894487913939555e-12,37.90170349780406,0.85
3,wiki_engineering_01052,2,"კომპიუტერული [MASK] ძირითადად წერენ პროგრამებს მიკროკონტროლირებისა და მიკროპროცესორებისთვის, ქმნიან VLSI ჩიპებს, პლატებს და ოპერაციულ სისტემებს შესაბამისი მოწყობილებისთვის.",ინჟინრები,ინჟინრებს,ინჟინრებმა,2.1443366235065012e-10,32.118749547302485,2.3523712026304014e-11,35.30709330929312,3.6046084373103507e-13,41.335222683149176,0.76
4,wiki_engineering_01065,5,"კომპიუტერული ინჟინერიის პირველი სასწავლო [MASK] 1972 წელს აშშ-ში, კლივლენდის ერთ-ერთ უნივერსიტეტში დამკვიდრდა.",პროგრამა,პროგრამას,პროგრამამ,1.030007427274737e-11,36.498554303193465,3.512448957770838e-14,44.69451606790258,1.4241042447507892e-13,42.675010477764786,0.78
5,wiki_entomology_01072,6,"აქვთ 2 წყვილი ფრთა, [MASK] მთლიანად ან ნაწილობრივ დაფარულია ქერცლით, მწუწნავი პირის აპარატი (ხორთუმი).",რომლებიც,რომლებსაც,რომლებმაც,0.622427761554718,0.6840216859705242,8.39350081446381e-06,16.862295904755637,1.133543323430037e-08,26.39458522792029,0.93
6,wiki_epidemiology_01121,8,1992 წელს ჩამოყალიბდა განსაკუთრებით საშიში პათოგენების კვლევითი [MASK].,ცენტრი,ცენტრს,ცენტრმა,0.6756200790405273,0.5657158900433046,1.0043952949015547e-07,23.24716948879105,5.167472093996616e-08,24.20596606644216,0.85
7,wiki_ethics_01141,3,"ჟურნალისტთა ეთიკის [MASK], შექმნილია და მიღებულია 2001 წელს საქართველოს ჟურნალისტთა დამოუკიდებელი ასოციაციას მიერ.",კოდექსი,კოდექსს,კოდექსმა,1.979631465706163e-08,25.590192880352035,1.0276312083022039e-17,56.433455003624076,2.0229469791792663e-18,58.77824720017596,0.68
8,wiki_ethnography_01154,15,"ტერმინი „ეთნოგრაფია“ პირველად 1607 წელს იხმარეს, თუმცა ამ მეცნიერული დისციპლინის აღსანიშნავად [MASK] საბოლოოდ დღემდე არ დამკვიდრებულა.",იგი,მას,მან,0.6122311949729919,0.7078515386107417,0.013622663915157315,6.197847339479711,0.0006520303431898358,10.582773275597859,0.87
9,wiki_fantasy_01178,1,"[MASK] „ეპიკური ფენტეზი“ (ინგლ. high fantasy) პირველად 1971 წელს ლოიდ ალექსანდრის მიერ იქნა გამოყენებული, ესეში „ეპიკური ფენტეზი და ჰეროიკული რომანტიზმი“ (ინგლ. High Fantasy and Heroic Romance).",ტერმინი,ტერმინს,ტერმინმა,1.416205812432664e-12,39.361106195967984,8.042625787717424e-16,50.14318292320452,2.134930534357154e-16,52.0566603895084,1.0
