Index,sentence_id,match_id,masked_text,form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,p_form_grammatical_nom,I_form_grammatical_nom,p_form_ungrammatical_dat,I_form_ungrammatical_dat,p_form_ungrammatical_erg,I_form_ungrammatical_erg
0,wiki_electricity_00993,6,"დამუხტული სხეულების ურთიერთქმედებას სწავლობს ფიზიკის [MASK] კლასიკური ელექტროდინამიკა, რომელიც სამართლიანია მანამ, სანამ კვანტური ეფექტები უმნიშვნელოა.",დარგი,დარგს,დარგმა,-669.4812048642843,669.4812048642843,-678.0923283602839,678.0923283602839,-674.9678810611304,674.9678810611304
1,wiki_engineering_01049,2,კომპიუტერული [MASK] უმეტესად სწავლობენ ელექტრო და პროგრამულ ინჟინერიას.,ინჟინრები,ინჟინრებს,ინჟინრებმა,-383.25529425403994,383.25529425403994,-382.84451356265896,382.84451356265896,-390.0604984913775,390.0604984913775
2,wiki_environment_01095,1,"[MASK] თავისი სამეურნეო საქმიანობით (ტყის გაშენებით ან გაჩეხვით, ჭაობების ამოშრობით, უდაბნოების მორწყვით და ა.შ.) სახეს უცვლის (გარკვეული ტერიტორიის ფარგლებში) ჰავას, რომელზედაც განსაკუთრებით უარყოფითად მოქმედებს ატმოსფეროს დაჭუჭყიანება.",ადამიანი,ადამიანს,ადამიანმა,-1089.582107310723,1089.582107310723,-1093.4732094247222,1093.4732094247222,-1061.9709850218362,1061.9709850218362
3,wiki_epidemiology_01113,1,"[MASK] „ეპიდემია“ გულისხმობს ინფეცქიური დაავადებების (გადამდები) სწრაფ მატებას ან იმ ახალი დაავადებების გავრცელებას, რომლებიც მანამდე არ გვხვდებოდა მოცემულ ტერიტორიაზე.",ტერმინი,ტერმინს,ტერმინმა,-661.0433736456522,661.0433736456522,-667.9652933042132,667.9652933042132,-676.1763773235497,676.1763773235497
4,wiki_ethics_01132,15,"ეთიკის კოდექსს არ გააჩნია კანონის ძალა და ემყარება ადამიანთა ჯგუფის მიერ დადგენილ წესებს, [MASK] თავის მხრივ ითვალისწინებენ საზოგადოებაში დადგენილ მორალურ წესებს და საერთაშორისოდ აღიარებულ ნორმებს ამა თუ იმ სფეროში.",რომლებიც,რომლებსაც,რომლებმაც,-827.0697835287195,827.0697835287195,-847.2081128491307,847.2081128491307,-851.3664663608909,851.3664663608909
5,wiki_ethics_01145,2,"ღირსების [MASK] მოქმედების მორალურ ღირებულებას პიროვნების ეთიკური გადმოსახედიდან აფასებს, არა როგორც დეონტოლოგია, კონსეკვენციალიზმი, ან პრაგმატული ეთიკა.",ეთიკა,ეთიკას,ეთიკამ,-631.7544850127416,631.7544850127416,-646.6667418388314,646.6667418388314,-641.0374924250331,641.0374924250331
6,wiki_ethnography_01152,3,"ამ სკოლის [MASK] კაცობრიობის კულტურას განიხილავდნენ როგორც პროგრესული განვითარების ერთიან, კანონზომიერ პროცესს.",წარმომადგენლები,წარმომადგენლებს,წარმომადგენლებმა,-535.4784487107405,535.4784487107405,-534.7261023426171,534.7261023426171,-549.1356838970213,549.1356838970213
7,wiki_ethnography_01165,1,[MASK] წარმოადგენს საქართველოს მინიატურულ მოდელს და ასახავს მის მრავალფეროვან ეთნოკულტურას.,მუზეუმი,მუზეუმს,მუზეუმმა,-338.274690957323,338.274690957323,-344.5767810035667,344.5767810035667,-340.59046968309207,340.59046968309207
8,wiki_history_01498,10,"სამეცნიერო დაწესებულება არის მეცნიერთა და სხვა პირთა გაერთიანება, [MASK] სამეცნიერო კვლევებს აწარმოებენ.",რომლებიც,რომლებსაც,რომლებმაც,-441.14085799289194,441.14085799289194,-452.0482049217698,452.0482049217698,-460.1093546652575,460.1093546652575
9,wiki_industry_01633,3,თურქეთის საავტომობილო [MASK] მნიშვნელოვან როლს თამაშობს ქვეყნის ეკონომიკის საწარმოო სექტორში.,მრეწველობა,მრეწველობას,მრეწველობამ,-441.9882799304461,441.9882799304461,-450.39615525007633,450.39615525007633,-450.0459805209568,450.0459805209568
