Index,sentence_id,match_id,masked_text,form_grammatical_erg,form_ungrammatical_dat,form_ungrammatical_nom,p_form_grammatical_erg,I_form_grammatical_erg,p_form_ungrammatical_nom,I_form_ungrammatical_nom,p_form_ungrammatical_dat,I_form_ungrammatical_dat,certainty
0,wiki_customs_00832,2,"მისმა [MASK] შექმნა 20-ზე მეტი საბაჟო და 50 საბაჟო კონტროლის წერტილი, რათა თავიდან აიცილოს კონტრაბანდის შემოტანა და საბაჟო წესების დარღვევა.",სტრუქტურამ,სტრუქტურას,სტრუქტურა,7.723952245308701e-13,40.235725988935044,9.165232458708914e-13,39.988893761087674,1.601310223207029e-14,45.827740498940734,0.81
1,wiki_cybernetics_00852,17,"შეისწავლის შემეცნებით ფსიქიკურ პროცესებს, ფსიქოლოგიის ამ მიმართულების დაფუძნებას და გავრცელებას ხელი შეუწყო კიბერნეტიკისა და ინფორმატიკის [MASK].",განვითარებამ,განვითარებას,განვითარება,2.997645140063637e-09,28.313523246208057,6.488806028720073e-09,27.199399814115047,1.924940191122912e-06,18.986754948093694,0.82
2,wiki_energy_01027,7,"კინეტიკური ენერგიისა და პოტენციური ენერგიის გარჩევა [MASK] საკმაოდ დიდი ხნის წინ დაიწყეს, ჯერ კიდევ არისტოტელეს ჰქონდა კონცეფციები ე.წ. აქტუალურობისა და პოტენციურობისა.",მეცნიერებმა,მეცნიერებს,მეცნიერები,2.0612522628209e-10,32.17575987143468,2.17153297971213e-11,35.42249518016751,4.59367766903607e-11,34.34155941508125,0.75
3,wiki_ethics_01131,1,[MASK] შემოგვინახა არსებითი ცნობები სოკრატეს ეთიკურ შეხედულებებზე.,მანვე,მას,იგი,1.5239106871149548e-12,39.25535878636311,3.9778851146365913e-07,21.26149505393668,1.6016359793979973e-08,25.89587847052412,1.0
4,wiki_farming_01202,8,"მეცხოველეობის წარმოშობა იმ პერიოდს უკავშირდება, როდესაც [MASK] გარეული ცხოველები მოიშინაურა და სამეურნეო მიზნით გამოიყენა.",ადამიანმა,ადამიანს,ადამიანი,2.3808022489031762e-07,22.002048869884167,0.008617281913757326,6.85855140234568,0.001817231415770948,9.104042133044745,0.67
5,wiki_historiography_01456,1,"[MASK] ""სამართლიანად გამოიწვია შეშფოთება თანამედროვე მეცნიერებში"".",ამან,ამას,ეს,2.0444642609443746e-12,38.8314142951575,7.411000257917526e-09,27.00768457869565,3.0374254345939934e-12,38.26028814604907,1.0
6,wiki_hydrology_01568,10,"პრაქტიკული გამოყენება ჰპოვა სელური მოვლენებისა და მდინარეთა მყარი ჩამონადენის [MASK] (ი. ხერხეულიძე, მ. გაგოშიძე, გ. ხმალაძე და სხვ).",შესწავლამ,შესწავლას,შესწავლა,1.1800371905344115e-15,49.59008909444022,2.948007251158446e-13,41.625325160528284,1.409048538902394e-14,46.01227201796245,0.83
7,wiki_irrigation_01719,13,"2008 წლის აგვისტოს ომის შემდეგ არხის სათავე ე.წ. სამხრეთ ოსეთის დე ფაქტო [MASK] გადაკეტა, რის შედეგადაც მრავალი სოფელი სარწყავი წყლის გარეშე დარჩა.",ხელისუფლებამ,ხელისუფლებას,ხელისუფლება,3.248335824643043e-13,41.48536444229896,4.674953480008752e-13,40.960113224577064,1.301984532075096e-13,42.80435292453378,0.84
8,wiki_law_01766,3,რომაულმა კერძო [MASK] საჯაროსთან შედარებით ბევრად მნიშვნელოვანი კვალი დატოვა სამართლის ისტორიაში.,სამართალმა,სამართალს,სამართალი,9.603663324561869e-12,36.59955231072546,2.1489553135689182e-10,32.115645465904485,2.5636843954034758e-11,35.182990375100545,0.77
9,wiki_literary_01821,3,თავდაპირველად ამ [MASK] პოპულარობა გერმანიაში მოიპოვა (მანამდე ფართოდ იყო გავრცელებული „ლიტერატურის ისტორია“).,ტერმინმა,ტერმინს,ტერმინი,2.795224281970777e-14,45.02402928238309,9.830744095762859e-12,36.56583651937253,1.3682540236661374e-12,39.41080103951961,0.67
10,wiki_mechanics_01979,1,[MASK] დასრულებული სახე მიიღო ისააკ ნიუტონის შრომებში.,მექანიკამ,მექანიკას,მექანიკა,8.243206721085518e-19,60.07342812799513,2.0215794529848423e-18,58.77922280182785,5.906982092894264e-20,63.876140659331874,1.0
11,wiki_medicine_02020,4,"ბუნებისმეტყველებისა და ტექნიკის [MASK], კლინიკურ-ანატომიური და კლინიკურ-ექსპერიმენტული მიმართულებების განვითარებამ, ავადმყოფობის კვლევის ობიექტურმა მეთოდებმა განაპირობებს მეცნიერული მედიცინის ჩამოყალიბება.",მიღწევებმა,მიღწევებს,მიღწევები,3.4726751131271277e-19,61.320586357473864,1.2268947672882058e-17,56.17776610102169,6.108779120148801e-20,63.82767782102641,0.95
12,wiki_metallurgy_02045,7,ლითონმცოდნეობის დამოუკიდებელ მეცნიერებად ჩამოყალიბება განაპირობა ტექნიკურმა [MASK].,მოთხოვნებმა,მოთხოვნებს,მოთხოვნები,1.850976519653307e-11,35.652922449576046,7.128553337449045e-11,33.70759971669213,5.3219935460447346e-12,37.4511703778363,0.69
