Index,sentence_id,match_id,masked_text,form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,p_form_grammatical_nom,I_form_grammatical_nom,p_form_ungrammatical_dat,I_form_ungrammatical_dat,p_form_ungrammatical_erg,I_form_ungrammatical_erg
0,wiki_cytology_00865,1,"[MASK] შედგება გარე შრისა და მის ქვეშ განლაგებული პლაზმური მემბრანისაგან, რომელიც უშუალოდ ციტოპლაზმას შემოსაზღვრავს.",იგი,მას,მან,-306.9189137430745,306.9189137430745,-322.15770088617586,322.15770088617586,-301.64457111330915,301.64457111330915
1,wiki_economics_00942,13,"2007 წელი „ეკონომიკური ბუმის“ პერიოდი იყო, რადგანაც ეკონომიკის 12.3%-იანი [MASK] დაფიქსირდა.",ზრდა,ზრდას,ზრდამ,-254.1225300733021,254.1225300733021,-256.8747432426343,256.8747432426343,-265.39817280409994,265.39817280409994
2,wiki_electrochemistry_01003,4,"ამ ამოცანების შესაბამისი [MASK] განიხილება ელექტროდიკაში, რომელიც სწავლობს ორი ფაზის საზღვარზე მიმდინარე მოვლენებს, ამ მოვლენების თერმოდინამიკას, ფაზათა საზღვრის აგებულებასა და ელექტროქიმიის კინეტიკის კანონებს.",თეორია,თეორიას,თეორიამ,-513.800231918747,513.800231918747,-528.406047074504,528.406047074504,-529.4226986757739,529.4226986757739
3,wiki_engineering_01052,2,"კომპიუტერული [MASK] ძირითადად წერენ პროგრამებს მიკროკონტროლირებისა და მიკროპროცესორებისთვის, ქმნიან VLSI ჩიპებს, პლატებს და ოპერაციულ სისტემებს შესაბამისი მოწყობილებისთვის.",ინჟინრები,ინჟინრებს,ინჟინრებმა,-503.4088485717515,503.4088485717515,-487.1125010853508,487.1125010853508,-512.2189482316178,512.2189482316178
4,wiki_engineering_01065,5,"კომპიუტერული ინჟინერიის პირველი სასწავლო [MASK] 1972 წელს აშშ-ში, კლივლენდის ერთ-ერთ უნივერსიტეტში დამკვიდრდა.",პროგრამა,პროგრამას,პროგრამამ,-301.73926708623,301.73926708623,-313.6525086456479,313.6525086456479,-308.3493049491342,308.3493049491342
5,wiki_entomology_01072,6,"აქვთ 2 წყვილი ფრთა, [MASK] მთლიანად ან ნაწილობრივ დაფარულია ქერცლით, მწუწნავი პირის აპარატი (ხორთუმი).",რომლებიც,რომლებსაც,რომლებმაც,-294.2801414137182,294.2801414137182,-292.10530531319944,292.10530531319944,-283.4090246058953,283.4090246058953
6,wiki_epidemiology_01121,8,1992 წელს ჩამოყალიბდა განსაკუთრებით საშიში პათოგენების კვლევითი [MASK].,ცენტრი,ცენტრს,ცენტრმა,-156.88231814602764,156.88231814602764,-163.80971332524717,163.80971332524717,-160.80824459066503,160.80824459066503
7,wiki_ethics_01141,3,"ჟურნალისტთა ეთიკის [MASK], შექმნილია და მიღებულია 2001 წელს საქართველოს ჟურნალისტთა დამოუკიდებელი ასოციაციას მიერ.",კოდექსი,კოდექსს,კოდექსმა,-235.74557348968764,235.74557348968764,-249.43617832966214,249.43617832966214,-244.7431051621246,244.7431051621246
8,wiki_ethnography_01154,15,"ტერმინი „ეთნოგრაფია“ პირველად 1607 წელს იხმარეს, თუმცა ამ მეცნიერული დისციპლინის აღსანიშნავად [MASK] საბოლოოდ დღემდე არ დამკვიდრებულა.",იგი,მას,მან,-367.2881821945286,367.2881821945286,-365.6183945237297,365.6183945237297,-366.54088991881827,366.54088991881827
9,wiki_fantasy_01178,1,"[MASK] „ეპიკური ფენტეზი“ (ინგლ. high fantasy) პირველად 1971 წელს ლოიდ ალექსანდრის მიერ იქნა გამოყენებული, ესეში „ეპიკური ფენტეზი და ჰეროიკული რომანტიზმი“ (ინგლ. High Fantasy and Heroic Romance).",ტერმინი,ტერმინს,ტერმინმა,-739.6512260674871,739.6512260674871,-881.5634354421169,881.5634354421169,-877.3323240083388,877.3323240083388
