Index,sentence_id,match_id,masked_text,form_grammatical_erg,form_ungrammatical_dat,form_ungrammatical_nom,p_form_grammatical_erg,I_form_grammatical_erg,p_form_ungrammatical_nom,I_form_ungrammatical_nom,p_form_ungrammatical_dat,I_form_ungrammatical_dat,certainty
0,wiki_customs_00832,2,"მისმა [MASK] შექმნა 20-ზე მეტი საბაჟო და 50 საბაჟო კონტროლის წერტილი, რათა თავიდან აიცილოს კონტრაბანდის შემოტანა და საბაჟო წესების დარღვევა.",სტრუქტურამ,სტრუქტურას,სტრუქტურა,1.0411607204352173e-06,19.873375779575028,2.2999852262728378e-06,18.729943975133377,2.8165464047998932e-08,25.08149751779903,0.8
1,wiki_cybernetics_00852,17,"შეისწავლის შემეცნებით ფსიქიკურ პროცესებს, ფსიქოლოგიის ამ მიმართულების დაფუძნებას და გავრცელებას ხელი შეუწყო კიბერნეტიკისა და ინფორმატიკის [MASK].",განვითარებამ,განვითარებას,განვითარება,4.123043206680442e-05,14.565930894671665,0.00015265245747286835,12.677461564617383,0.01624936796724796,5.9434725853720956,0.83
2,wiki_energy_01027,7,"კინეტიკური ენერგიისა და პოტენციური ენერგიის გარჩევა [MASK] საკმაოდ დიდი ხნის წინ დაიწყეს, ჯერ კიდევ არისტოტელეს ჰქონდა კონცეფციები ე.წ. აქტუალურობისა და პოტენციურობისა.",მეცნიერებმა,მეცნიერებს,მეცნიერები,7.180071406764915e-05,13.765642282523114,1.0598779226711494e-05,16.525742370496797,1.8432931397597482e-08,25.69313923742598,0.61
3,wiki_ethics_01131,1,[MASK] შემოგვინახა არსებითი ცნობები სოკრატეს ეთიკურ შეხედულებებზე.,მანვე,მას,იგი,0.0010376307806671257,9.912491102680388,2.342471816518808e-06,18.703536879140096,3.452287637628613e-05,14.822087802477151,0.78
4,wiki_farming_01202,8,"მეცხოველეობის წარმოშობა იმ პერიოდს უკავშირდება, როდესაც [MASK] გარეული ცხოველები მოიშინაურა და სამეურნეო მიზნით გამოიყენა.",ადამიანმა,ადამიანს,ადამიანი,0.004747675731778144,7.718562882987108,6.772363849449899e-05,13.849980989434826,3.1061322260939076e-06,18.296449323671855,0.75
5,wiki_historiography_01456,1,"[MASK] ""სამართლიანად გამოიწვია შეშფოთება თანამედროვე მეცნიერებში"".",ამან,ამას,ეს,0.00020535933435894562,12.249561854792493,0.0007444197544828059,10.391596039203122,6.8685576479765536e-06,17.151561394965093,0.79
6,wiki_hydrology_01568,10,"პრაქტიკული გამოყენება ჰპოვა სელური მოვლენებისა და მდინარეთა მყარი ჩამონადენის [MASK] (ი. ხერხეულიძე, მ. გაგოშიძე, გ. ხმალაძე და სხვ).",შესწავლამ,შესწავლას,შესწავლა,2.459512219405792e-07,21.955124441501447,3.129700019144367e-07,21.607472282335777,7.427266268678061e-07,20.360665364127257,0.64
7,wiki_irrigation_01719,13,"2008 წლის აგვისტოს ომის შემდეგ არხის სათავე ე.წ. სამხრეთ ოსეთის დე ფაქტო [MASK] გადაკეტა, რის შედეგადაც მრავალი სოფელი სარწყავი წყლის გარეშე დარჩა.",ხელისუფლებამ,ხელისუფლებას,ხელისუფლება,0.0017963368445634842,9.120726378672632,3.5970683711639144e-06,18.08474698760966,7.474461654055635e-06,17.0295988959657,0.75
8,wiki_law_01766,3,რომაულმა კერძო [MASK] საჯაროსთან შედარებით ბევრად მნიშვნელოვანი კვალი დატოვა სამართლის ისტორიაში.,სამართალმა,სამართალს,სამართალი,4.963322612813974e-13,40.873759001592575,1.0491937180168183e-11,36.47192796906786,1.1340031349306287e-15,49.64749679472111,0.96
9,wiki_literary_01821,3,თავდაპირველად ამ [MASK] პოპულარობა გერმანიაში მოიპოვა (მანამდე ფართოდ იყო გავრცელებული „ლიტერატურის ისტორია“).,ტერმინმა,ტერმინს,ტერმინი,6.960397546853246e-07,20.45432695548029,3.0450490157818442e-05,15.003175023232545,1.519291747238597e-08,25.97202582416402,0.67
