Index,sentence_id,match_id,masked_text,form_grammatical_dat,form_ungrammatical_nom,form_ungrammatical_erg,p_form_grammatical_dat,I_form_grammatical_dat,p_form_ungrammatical_nom,I_form_ungrammatical_nom,p_form_ungrammatical_erg,I_form_ungrammatical_erg
0,wiki_cultural_00812,6,"კულტურათა ურთიერთქმედება ეწოდება უშუალო კავშირურთიერთობის [MASK], რომელიც ყალიბდება, სულ მცირე, ორ კულტურას შორის, აგრეთვე ამ ურთიერთობათა შედეგად წარმოშობილ გავლენებსა და ორმხრივ ცვლილებებს.",სახეს,სახე,სახემ,-468.4756115895785,468.4756115895785,-454.55453482547483,454.55453482547483,-460.89516336017186,460.89516336017186
1,wiki_customs_00815,4,აზერბაიჯანის სახელმწიფო საბაჟო [MASK] (აზერ. Azərbaycan Respublikası Dövlət Gömrük Komitəsi) ეკისრება იმპორტ-ექსპორტის ოპერაციების საბაჟო კონტროლი და საბაჟო ორგანიზაციების ფუნქციები აზერბაიჯანის რესპუბლიკაში.,კომიტეტს,კომიტეტი,კომიტეტმა,-767.5177900756396,767.5177900756396,-721.9329260878154,721.9329260878154,-730.7348874666576,730.7348874666576
2,wiki_cybernetics_00837,3,"გამოყენებითი ეწოდება [MASK], რომელიც პრაქტიკულ საქმიანობაში და ტექნოლოგიური პროცესების განხორციელებისას იყენებს თეორიულ მეცნიერულ ცოდნას.",მეცნიერებას,მეცნიერება,მეცნიერებამ,-219.9087168839193,219.9087168839193,-216.24820294561576,216.24820294561576,-222.69696174854025,222.69696174854025
3,wiki_cybernetics_00846,25,"ხელოვნური ინტელექტი (ინგლ. artificial intelligence, შემოკლებით AI) — კომპიუტერული მეცნიერების დარგი, რომელიც მიზნად ისახავს ინტელექტუალურ კომპიუტერულ მანქანის/პროგრამის შექმნას [MASK] ექნება უნარი მიაღწიოს ადამიანის ინტელექტის გაგებას.",რომელსაც,რომელიც,რომელმაც,-478.57203913381915,478.57203913381915,-479.04593455008154,479.04593455008154,-481.6214890544318,481.6214890544318
4,wiki_documentary_00893,2,მუშნის [MASK] აზრი ეკარგება და იგი ნოსტალგიით იტანჯება.,არსებობას,არსებობა,არსებობამ,-202.91440333682806,202.91440333682806,-243.60367059458127,243.60367059458127,-233.06085363897478,233.06085363897478
5,wiki_documentary_00900,1,[MASK] ეკუთვნის ასევე დოკუმენტური მოთხრობა „ახალი ბაღი“ (1936) და დაუმთავრებელი რომანი „ოქროს საწმისი“ (ნაწყვეტები გამოქვეყნდა 1941 წელს).,მას,იგი,მან,-383.0841242475565,383.0841242475565,-365.79114833332466,365.79114833332466,-371.64167845634813,371.64167845634813
6,wiki_education_00955,1,[MASK] საქართველოში დიდი ისტორია აქვს.,განათლებას,განათლება,განათლებამ,-40.04141290625121,40.04141290625121,-66.8049385851489,66.8049385851489,-43.262344034190654,43.262344034190654
7,wiki_electricity_00985,6,"სადენების, ნათურისა და ბატარეის [MASK] ელექტრული წრედი ჰქვია.",მთლიანობას,მთლიანობა,მთლიანობამ,-199.55546723758667,199.55546723758667,-197.54664366775367,197.54664366775367,-200.03943043126597,200.03943043126597
8,wiki_energy_01027,16,"კინეტიკური ენერგიისა და პოტენციური ენერგიის გარჩევა მეცნიერებმა საკმაოდ დიდი ხნის წინ დაიწყეს, ჯერ კიდევ [MASK] ჰქონდა კონცეფციები ე.წ. აქტუალურობისა და პოტენციურობისა.",არისტოტელეს,არისტოტელე,არისტოტელემ,-452.287406134085,452.287406134085,-451.6817824127707,451.6817824127707,-450.7850759606823,450.7850759606823
9,wiki_energy_01040,2,"იონიზაციის [MASK] ყოველთვის აქვს ენდოენერგეტიკული მნიშვნელობა (ეს გასაგებიცაა, რათა მოვწყვიტოთ ელექტრონი ატომს, საჭიროა მოვდოთ ენერგია მას, და თავისით ეს ვერ მოხდება).",ენერგიას,ენერგია,ენერგიამ,-603.9576567884053,603.9576567884053,-601.7590864180637,601.7590864180637,-578.7832448939098,578.7832448939098
