Index,sentence_id,match_id,masked_text,form_grammatical_dat,form_ungrammatical_nom,form_ungrammatical_erg,p_form_grammatical_dat,I_form_grammatical_dat,p_form_ungrammatical_nom,I_form_ungrammatical_nom,p_form_ungrammatical_erg,I_form_ungrammatical_erg,certainty
0,wiki_cultural_00812,6,"კულტურათა ურთიერთქმედება ეწოდება უშუალო კავშირურთიერთობის [MASK], რომელიც ყალიბდება, სულ მცირე, ორ კულტურას შორის, აგრეთვე ამ ურთიერთობათა შედეგად წარმოშობილ გავლენებსა და ორმხრივ ცვლილებებს.",სახეს,სახე,სახემ,2.3013099053059694e-05,15.407185197636004,7.50899644685888e-08,23.66680465001234,7.462211640541528e-11,33.64160576583227,0.65
1,wiki_customs_00815,4,აზერბაიჯანის სახელმწიფო საბაჟო [MASK] (აზერ. Azərbaycan Respublikası Dövlət Gömrük Komitəsi) ეკისრება იმპორტ-ექსპორტის ოპერაციების საბაჟო კონტროლი და საბაჟო ორგანიზაციების ფუნქციები აზერბაიჯანის რესპუბლიკაში.,კომიტეტს,კომიტეტი,კომიტეტმა,2.2322059690821363e-06,18.77309841632209,4.4292692109593216e-06,17.78449988243904,4.59789043816272e-06,17.730596480432617,0.77
2,wiki_cybernetics_00837,3,"გამოყენებითი ეწოდება [MASK], რომელიც პრაქტიკულ საქმიანობაში და ტექნოლოგიური პროცესების განხორციელებისას იყენებს თეორიულ მეცნიერულ ცოდნას.",მეცნიერებას,მეცნიერება,მეცნიერებამ,0.06670014703210649,3.90616624812113,0.5005499124526978,0.9984141599765498,1.0453616013543022e-06,19.867566497598975,0.79
3,wiki_cybernetics_00846,25,"ხელოვნური ინტელექტი (ინგლ. artificial intelligence, შემოკლებით AI) — კომპიუტერული მეცნიერების დარგი, რომელიც მიზნად ისახავს ინტელექტუალურ კომპიუტერულ მანქანის/პროგრამის შექმნას [MASK] ექნება უნარი მიაღწიოს ადამიანის ინტელექტის გაგებას.",რომელსაც,რომელიც,რომელმაც,0.5534168481826782,0.8535615289669667,0.007150799036026,7.127679825861362,9.360035619465641e-05,13.383126454464813,0.86
4,wiki_documentary_00893,2,მუშნის [MASK] აზრი ეკარგება და იგი ნოსტალგიით იტანჯება.,არსებობას,არსებობა,არსებობამ,0.0017337185563519601,9.171914567365674,6.551636488438821e-06,17.21971325674014,1.88808942467049e-09,28.98042575799762,0.63
5,wiki_documentary_00900,1,[MASK] ეკუთვნის ასევე დოკუმენტური მოთხრობა „ახალი ბაღი“ (1936) და დაუმთავრებელი რომანი „ოქროს საწმისი“ (ნაწყვეტები გამოქვეყნდა 1941 წელს).,მას,იგი,მან,0.08175089210271837,3.6126217157371494,2.426596097393487e-07,21.974562669764563,1.7153475937448103e-06,19.1530676191885,0.75
6,wiki_education_00955,1,[MASK] საქართველოში დიდი ისტორია აქვს.,განათლებას,განათლება,განათლებამ,0.00023630338546354302,12.047072080933935,6.079401373426663e-07,20.649567392862995,5.969060394798652e-11,33.96370519274832,0.72
7,wiki_electricity_00985,6,"სადენების, ნათურისა და ბატარეის [MASK] ელექტრული წრედი ჰქვია.",მთლიანობას,მთლიანობა,მთლიანობამ,5.4518151948957576e-06,17.48483191068917,1.0281194549717658e-07,23.21348876633028,1.8395715688129615e-09,29.017983048312505,0.77
8,wiki_energy_01027,16,"კინეტიკური ენერგიისა და პოტენციური ენერგიის გარჩევა მეცნიერებმა საკმაოდ დიდი ხნის წინ დაიწყეს, ჯერ კიდევ [MASK] ჰქონდა კონცეფციები ე.წ. აქტუალურობისა და პოტენციურობისა.",არისტოტელეს,არისტოტელე,არისტოტელემ,2.0329828508162168e-10,32.195682903463116,1.0658922340829957e-12,39.771075555347934,6.11399617569636e-13,40.57294958371607,0.63
9,wiki_energy_01040,2,"იონიზაციის [MASK] ყოველთვის აქვს ენდოენერგეტიკული მნიშვნელობა (ეს გასაგებიცაა, რათა მოვწყვიტოთ ელექტრონი ატომს, საჭიროა მოვდოთ ენერგია მას, და თავისით ეს ვერ მოხდება).",ენერგიას,ენერგია,ენერგიამ,8.765261736698449e-05,13.477843302950113,5.687786597263764e-07,20.74562932739149,9.748957941028732e-09,26.612104835498837,0.63
10,wiki_entomology_01079,1,"[MASK] აქვთ მღრღნელი (ახასიათებთ სწორფრთიანებს, ხეშეშფრთიანებს ანუ ხოჭოებს და სხვა) ან მწუწნავი (ახასიათებთ ქერცლფრთიანებს ანუ პეპლებს, ბუზებს) პირის აპარატი.",მწერებს,მწერები,მწერებმა,1.9878871658738937e-08,25.58418888844317,2.503040804707125e-09,28.57367104387541,1.4974772519811715e-11,35.95867495640851,0.68
11,wiki_entomology_01084,1,"[MASK] ახასიათებთ მკვეთრი, ლამაზი შეფერილობა, უფრო ხშირად მბრწყინავი ლურჯი ან მწვანე ელფერი დაკრავთ.",ხოჭოებს,ხოჭოები,ხოჭოებმა,9.197222706814256e-12,36.66193886356693,6.277812513586904e-16,50.50058757461663,2.2379104742820642e-23,75.24219385873698,0.76
12,wiki_entomology_01088,2,უკანა [MASK] ეკუთვნის მსხვილი და სწორი ნაწლავი.,ნაწლავს,ნაწლავი,ნაწლავმა,1.2918541550549927e-06,19.562125364350887,2.889351585302737e-08,25.044678992887345,7.753978645864904e-10,30.264344186901273,0.73
13,wiki_epidemiology_01114,2,მსხვილმასშტაბიან [MASK] პანდემია ეწოდება.,ეპიდემიას,ეპიდემია,ეპიდემიამ,2.7947525673485935e-10,31.736560388760715,2.794756565279929e-10,31.73655832496743,8.462380602693618e-18,56.713642134394725,0.73
14,wiki_ethics_01132,2,"ეთიკის [MASK] არ გააჩნია კანონის ძალა და ემყარება ადამიანთა ჯგუფის მიერ დადგენილ წესებს, რომლებიც თავის მხრივ ითვალისწინებენ საზოგადოებაში დადგენილ მორალურ წესებს და საერთაშორისოდ აღიარებულ ნორმებს ამა თუ იმ სფეროში.",კოდექსს,კოდექსი,კოდექსმა,1.1236085744928165e-05,16.441500935309254,1.0102935448230703e-05,16.59486593974649,8.432658972094412e-11,33.465221432641464,0.65
15,wiki_ethnography_01166,1,"[MASK] ძველთაგანვე აინტერესებდათ მახლობელი თუ შორეული ხალხების ყოფის თავისებურებანი, მათი ზნე-ჩვეულებები და რწმენა-წარმოდგენები.",ადამიანებს,ადამიანები,ადამიანებმა,0.04640436172485352,4.42959577357981,1.6220377574427405e-07,22.555689261523554,7.196802471298722e-06,17.084212507690932,0.81
16,wiki_farming_01204,5,"დიდი სასურსათო მნიშვნელობა აქვს [MASK], რომლისთვისაც ამრავლებენ საკვერცხე მიმართულების ქათმებს.",კვერცხს,კვერცხი,კვერცხმა,7.119214942269264e-07,20.421778504668772,2.632606083352586e-06,18.535076902140386,1.2371021863205673e-09,29.590388180180415,0.62
17,wiki_finance_01239,2,"სახელმწიფო [MASK] ბიუჯეტის ფორმირების, განხილვის, დამტკიცების, შესრულების და შესრულების შესახებ ანგარიშის შედგენისა და დამტკიცების საქმეში ეწოდება საბიუჯეტო პროცესი.",ქმედებას,ქმედება,ქმედებამ,0.00024205339767259507,12.012387034282717,0.0003241440863348541,11.591077126832028,2.120379781120767e-08,25.491102070127074,0.74
18,wiki_finance_01240,4,"ფინანსური ინფორმაციის ყველა [MASK], საკუთარი ინტერესებიდან გამომდინარე, სხვადასხვა სახის ინფორმაცია აინტერესებს, მაგრამ ბასს-ები ორიენტირებულნი არიან ინვესტორთა ინტერესებზე.",მომხმარებელს,მომხმარებელი,მომხმარებელმა,0.014412277378141882,6.116557866576341,0.001164505141787231,9.746067274984872,0.004134092014282942,7.918213784850744,0.61
19,wiki_forestry_01244,2,მთის [MASK] უკავიათ მრავალი ქედის ფერდობი მთისწინეთიდან დაწყებული ალპურ სარტყლამდე და მთის ტუნდრამდე.,ტყეებს,ტყეები,ტყეებმა,1.5726431812296978e-09,29.24416148079501,7.582873302631613e-11,33.618464425708964,3.7218193647047005e-15,47.932913386174704,0.95
20,wiki_general_01277,4,"გარდა ამისა, [MASK] აქვს უნარი წარმოქმნას მდგრადი გრძელი, სწორი და განტოტვილჯაჭვიანი ნაერთები.",ნახშირბადს,ნახშირბადი,ნახშირბადმა,3.304866710618865e-10,31.49468886165106,1.549939619848422e-11,35.90899702944985,9.690300319397854e-14,43.23045195044092,0.64
21,wiki_geology_01367,1,[MASK] მრავალსაუკუნოვანი ისტორია აქვს.,გეოლოგიას,გეოლოგია,გეოლოგიამ,6.493551188921244e-09,27.198345179847855,4.4678192978777106e-13,41.025494396713505,1.3516308180051358e-12,39.42843598833415,0.92
