Index,sentence_id,match_id,masked_text,form_grammatical_erg,form_ungrammatical_dat,form_ungrammatical_nom,p_form_grammatical_erg,I_form_grammatical_erg,p_form_ungrammatical_nom,I_form_ungrammatical_nom,p_form_ungrammatical_dat,I_form_ungrammatical_dat,certainty
0,wiki_customs_00832,2,"მისმა [MASK] შექმნა 20-ზე მეტი საბაჟო და 50 საბაჟო კონტროლის წერტილი, რათა თავიდან აიცილოს კონტრაბანდის შემოტანა და საბაჟო წესების დარღვევა.",სტრუქტურამ,სტრუქტურას,სტრუქტურა,1.3008278708738967e-17,56.09334753978098,3.3401664828035564e-18,58.05478569571353,1.4487275568352175e-17,55.93799130139152,0.63
1,wiki_cybernetics_00852,17,"შეისწავლის შემეცნებით ფსიქიკურ პროცესებს, ფსიქოლოგიის ამ მიმართულების დაფუძნებას და გავრცელებას ხელი შეუწყო კიბერნეტიკისა და ინფორმატიკის [MASK].",განვითარებამ,განვითარებას,განვითარება,2.051200849071104e-11,35.504740279504475,3.7596955735352843e-06,18.020952719211554,2.4082142772854855e-11,35.2732452783147,0.63
2,wiki_energy_01027,7,"კინეტიკური ენერგიისა და პოტენციური ენერგიის გარჩევა [MASK] საკმაოდ დიდი ხნის წინ დაიწყეს, ჯერ კიდევ არისტოტელეს ჰქონდა კონცეფციები ე.წ. აქტუალურობისა და პოტენციურობისა.",მეცნიერებმა,მეცნიერებს,მეცნიერები,5.979096537627395e-12,37.28320963401683,8.925949216888806e-12,36.70513154007461,1.8138829910598683e-11,35.682127649450365,0.63
3,wiki_ethics_01131,1,[MASK] შემოგვინახა არსებითი ცნობები სოკრატეს ეთიკურ შეხედულებებზე.,მანვე,მას,იგი,9.430981242714653e-12,36.62572925530352,7.766031558276161e-06,16.974390999487518,2.8890610792586796e-06,18.40096786427519,0.63
4,wiki_farming_01202,8,"მეცხოველეობის წარმოშობა იმ პერიოდს უკავშირდება, როდესაც [MASK] გარეული ცხოველები მოიშინაურა და სამეურნეო მიზნით გამოიყენა.",ადამიანმა,ადამიანს,ადამიანი,1.963063690185701e-12,38.89003015788478,3.0427896490436965e-05,15.004245872023978,1.0424473657621998e-06,19.871594026969195,0.63
5,wiki_historiography_01456,1,"[MASK] ""სამართლიანად გამოიწვია შეშფოთება თანამედროვე მეცნიერებში"".",ამან,ამას,ეს,3.288474186805701e-12,38.145718792904994,7.254976708281906e-07,20.394525681608027,3.942176135751652e-06,17.952576332136445,0.63
6,wiki_hydrology_01568,10,"პრაქტიკული გამოყენება ჰპოვა სელური მოვლენებისა და მდინარეთა მყარი ჩამონადენის [MASK] (ი. ხერხეულიძე, მ. გაგოშიძე, გ. ხმალაძე და სხვ).",შესწავლამ,შესწავლას,შესწავლა,3.0014632052838972e-18,58.20903972579143,7.505355887695529e-19,60.20871331992262,4.005659296821638e-18,57.792665990688334,0.63
7,wiki_irrigation_01719,13,"2008 წლის აგვისტოს ომის შემდეგ არხის სათავე ე.წ. სამხრეთ ოსეთის დე ფაქტო [MASK] გადაკეტა, რის შედეგადაც მრავალი სოფელი სარწყავი წყლის გარეშე დარჩა.",ხელისუფლებამ,ხელისუფლებას,ხელისუფლება,1.9763290005413604e-12,38.88031400552137,4.066781912115405e-06,17.907680943349757,9.817229772549061e-12,36.56782115659639,0.63
8,wiki_law_01766,3,რომაულმა კერძო [MASK] საჯაროსთან შედარებით ბევრად მნიშვნელოვანი კვალი დატოვა სამართლის ისტორიაში.,სამართალმა,სამართალს,სამართალი,6.929269648619596e-18,57.00200240897826,2.6551807351025943e-12,38.45432707168231,1.3770529480514591e-11,36.07962501121427,0.63
9,wiki_literary_01821,3,თავდაპირველად ამ [MASK] პოპულარობა გერმანიაში მოიპოვა (მანამდე ფართოდ იყო გავრცელებული „ლიტერატურის ისტორია“).,ტერმინმა,ტერმინს,ტერმინი,2.926668114110503e-17,54.923518460531035,1.091599931330663e-12,39.73669292967935,7.930400495527973e-18,56.80731198222962,0.63
10,wiki_mechanics_01979,1,[MASK] დასრულებული სახე მიიღო ისააკ ნიუტონის შრომებში.,მექანიკამ,მექანიკას,მექანიკა,3.127458374233587e-22,71.43742740494908,8.540958931822481e-23,73.30994812561754,6.126234266905027e-22,70.46741755094097,0.63
11,wiki_medicine_02020,4,"ბუნებისმეტყველებისა და ტექნიკის [MASK], კლინიკურ-ანატომიური და კლინიკურ-ექსპერიმენტული მიმართულებების განვითარებამ, ავადმყოფობის კვლევის ობიექტურმა მეთოდებმა განაპირობებს მეცნიერული მედიცინის ჩამოყალიბება.",მიღწევებმა,მიღწევებს,მიღწევები,5.704264058377563e-18,57.28266494026958,8.514438762347874e-18,56.704794271605145,9.603736696510424e-18,56.53110985790752,0.63
12,wiki_metallurgy_02045,7,ლითონმცოდნეობის დამოუკიდებელ მეცნიერებად ჩამოყალიბება განაპირობა ტექნიკურმა [MASK].,მოთხოვნებმა,მოთხოვნებს,მოთხოვნები,4.36690113861481e-22,70.95580821691321,4.931675249555379e-17,54.17069981157667,1.750964587479376e-17,55.66462770691764,0.63
13,wiki_metaphysics_02050,2,ფარდობითობის [MASK] უარყო აბსოლუტური უძრაობის არსებობის მეტაფიზიკური თვალსაზრისი.,თეორიამ,თეორიას,თეორია,6.560487448572076e-18,57.08090269594755,3.030554616070689e-18,58.19512386522014,7.953408317322345e-18,56.803132469115276,0.63
