Index,sentence_id,match_id,masked_text,form_grammatical_dat,form_ungrammatical_nom,form_ungrammatical_erg,p_form_grammatical_dat,I_form_grammatical_dat,p_form_ungrammatical_nom,I_form_ungrammatical_nom,p_form_ungrammatical_erg,I_form_ungrammatical_erg
0,wiki_cultural_00812,6,"კულტურათა ურთიერთქმედება ეწოდება უშუალო კავშირურთიერთობის [MASK], რომელიც ყალიბდება, სულ მცირე, ორ კულტურას შორის, აგრეთვე ამ ურთიერთობათა შედეგად წარმოშობილ გავლენებსა და ორმხრივ ცვლილებებს.",სახეს,სახე,სახემ,-696.4520044089539,696.4520044089539,-685.1026009637108,685.1026009637108,-697.3924171602267,697.3924171602267
1,wiki_customs_00815,4,აზერბაიჯანის სახელმწიფო საბაჟო [MASK] (აზერ. Azərbaycan Respublikası Dövlət Gömrük Komitəsi) ეკისრება იმპორტ-ექსპორტის ოპერაციების საბაჟო კონტროლი და საბაჟო ორგანიზაციების ფუნქციები აზერბაიჯანის რესპუბლიკაში.,კომიტეტს,კომიტეტი,კომიტეტმა,-741.0149394715127,741.0149394715127,-727.6271117115871,727.6271117115871,-742.6577048444994,742.6577048444994
2,wiki_cybernetics_00837,3,"გამოყენებითი ეწოდება [MASK], რომელიც პრაქტიკულ საქმიანობაში და ტექნოლოგიური პროცესების განხორციელებისას იყენებს თეორიულ მეცნიერულ ცოდნას.",მეცნიერებას,მეცნიერება,მეცნიერებამ,-423.2704878964209,423.2704878964209,-424.40060043654574,424.40060043654574,-425.6378448242234,425.6378448242234
3,wiki_cybernetics_00846,25,"ხელოვნური ინტელექტი (ინგლ. artificial intelligence, შემოკლებით AI) — კომპიუტერული მეცნიერების დარგი, რომელიც მიზნად ისახავს ინტელექტუალურ კომპიუტერულ მანქანის/პროგრამის შექმნას [MASK] ექნება უნარი მიაღწიოს ადამიანის ინტელექტის გაგებას.",რომელსაც,რომელიც,რომელმაც,-849.0468931771234,849.0468931771234,-848.4037810366237,848.4037810366237,-847.4888946402111,847.4888946402111
4,wiki_documentary_00893,2,მუშნის [MASK] აზრი ეკარგება და იგი ნოსტალგიით იტანჯება.,არსებობას,არსებობა,არსებობამ,-266.89260423148414,266.89260423148414,-267.37605424145465,267.37605424145465,-267.91375613268485,267.91375613268485
5,wiki_documentary_00900,1,[MASK] ეკუთვნის ასევე დოკუმენტური მოთხრობა „ახალი ბაღი“ (1936) და დაუმთავრებელი რომანი „ოქროს საწმისი“ (ნაწყვეტები გამოქვეყნდა 1941 წელს).,მას,იგი,მან,-498.1269992014094,498.1269992014094,-497.2224667259903,497.2224667259903,-495.67154830147854,495.67154830147854
6,wiki_education_00955,1,[MASK] საქართველოში დიდი ისტორია აქვს.,განათლებას,განათლება,განათლებამ,-106.41383108820193,106.41383108820193,-93.27544996931893,93.27544996931893,-104.21481545163446,104.21481545163446
7,wiki_electricity_00985,6,"სადენების, ნათურისა და ბატარეის [MASK] ელექტრული წრედი ჰქვია.",მთლიანობას,მთლიანობა,მთლიანობამ,-301.9127102197349,301.9127102197349,-302.7584787465312,302.7584787465312,-317.3125497141279,317.3125497141279
8,wiki_energy_01027,16,"კინეტიკური ენერგიისა და პოტენციური ენერგიის გარჩევა მეცნიერებმა საკმაოდ დიდი ხნის წინ დაიწყეს, ჯერ კიდევ [MASK] ჰქონდა კონცეფციები ე.წ. აქტუალურობისა და პოტენციურობისა.",არისტოტელეს,არისტოტელე,არისტოტელემ,-736.0163899635745,736.0163899635745,-724.2882409840917,724.2882409840917,-736.2816932997022,736.2816932997022
9,wiki_energy_01040,2,"იონიზაციის [MASK] ყოველთვის აქვს ენდოენერგეტიკული მნიშვნელობა (ეს გასაგებიცაა, რათა მოვწყვიტოთ ელექტრონი ატომს, საჭიროა მოვდოთ ენერგია მას, და თავისით ეს ვერ მოხდება).",ენერგიას,ენერგია,ენერგიამ,-732.243022604709,732.243022604709,-723.8785640311619,723.8785640311619,-734.2942539363031,734.2942539363031
