Index,sentence_id,match_id,masked_text,form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,p_form_grammatical_nom,I_form_grammatical_nom,p_form_ungrammatical_erg,I_form_ungrammatical_erg,p_form_ungrammatical_dat,I_form_ungrammatical_dat,certainty
0,wiki_cultural_00807,2,"ეს [MASK] ფილოსოფიურად განაზოგადა ჰეგელმა, რომლის მოღვაწეობა საფუძვლად დაედო კ. შნააზეს ისტორიად გააზრებულ მსოფლიო ხელოვნების ისტორიას.",წარმოდგენა,წარმოდგენას,წარმოდგენამ,1.7743451898975e-08,25.748138053119398,8.614336506482224e-11,33.43446936230441,3.42390894644652e-10,31.443636612863752,0.68
1,wiki_cybernetics_00852,12,"შეისწავლის შემეცნებით ფსიქიკურ პროცესებს, ფსიქოლოგიის ამ მიმართულების დაფუძნებას და გავრცელებას [MASK] შეუწყო კიბერნეტიკისა და ინფორმატიკის განვითარებამ.",ხელი,ხელს,ხელმა,0.9939146637916565,0.00880610568495455,6.106997069480346e-09,27.28688970110036,0.003827860578894615,8.029246000763008,1.0
2,wiki_electrochemistry_01010,7,1838 რუსმა ფიზიკოსმა იაკობიმ აღმოაჩინა გალვანოპლასტიკის [MASK].,მოვლენები,მოვლენებს,მოვლენებმა,0.0003799168334808199,11.362028742720863,3.705971367158392e-10,31.329429213924573,1.2847779099459632e-08,26.21390576614768,0.75
3,wiki_electrochemistry_01013,7,1888–89 გერმანელმა ფიზიკოსმა და ქიმიკოსმა ნერნსტმა [MASK] ჩაუყარა გალვანური ელემენტის ემძ-ის თეორიას.,საფუძველი,საფუძველს,საფუძველმა,7.550743500192419e-13,40.268446524034594,7.251018186845263e-18,56.936522115607175,2.3029289608499067e-16,51.94737960963337,0.85
4,wiki_energy_01034,1,"[MASK] „ბნელი მატერია“ ასტროფიზიკოსმა მაიკლ ტერნერმა დაამკვიდრა, როდესაც 1998 წელს ასტრონომებმა განაცხადეს, რომ სიჩქარე, რომლითაც სამყარო ფართოვდებოდა, როგორც ჩანს, აჩქარებას უნდა განიცდიდეს.",ტერმინი,ტერმინს,ტერმინმა,4.882819212070896e-18,57.506991345249496,6.353979529194507e-19,60.448973360774666,1.3742499049840307e-18,59.336061328345124,1.0
5,wiki_ethics_01128,4,უფრო ადრე ეთიკის [MASK] გაარჩია პლატონმა.,საკითხები,საკითხებს,საკითხებმა,7.549586825916773e-06,17.01517087859664,2.1249067396493737e-09,28.80995333000551,1.2238779523521437e-07,22.96203696754979,0.69
6,wiki_ethics_01131,4,მანვე შემოგვინახა არსებითი [MASK] სოკრატეს ეთიკურ შეხედულებებზე.,ცნობები,ცნობებს,ცნობებმა,1.3313813754199874e-05,16.19671658266428,6.129562712542805e-10,30.603496794198815,1.115816981962004e-09,29.73925244050078,0.89
7,wiki_farming_01202,10,"მეცხოველეობის წარმოშობა იმ პერიოდს უკავშირდება, როდესაც ადამიანმა გარეული [MASK] მოიშინაურა და სამეურნეო მიზნით გამოიყენა.",ცხოველები,ცხოველებს,ცხოველებმა,0.011510961354371737,6.4408478625368275,1.0045923648746591e-05,16.603030259075855,9.80845787262207e-06,16.637542241687935,0.76
8,wiki_forestry_01258,4,დედამიწის თანამედროვე ტყის [MASK] მნიშვნელოვნად შეცვალა ადამიანის ჩარევამ.,საფარი,საფარს,საფარმა,2.104572776801144e-09,28.823825454587784,3.1647530885947663e-09,28.23525990780987,5.780704491512908e-11,34.00996371981056,0.79
9,wiki_geology_01375,3,ზღვის გეოლოგიას [MASK] ჩაუყარა 1872-1876 წლებში გემ „ჩელინჯერით“ ჩატარებულმა ინგლისურმა ოკეანოგრაფიულმა ექსპედიციამ.,საფუძველი,საფუძველს,საფუძველმა,6.330585585963408e-16,50.48851056153143,1.8794556806632852e-18,58.88439081229958,8.446339648246996e-17,53.39445135043692,0.84
