Index,sentence_id,match_id,masked_text,form_grammatical_dat,form_ungrammatical_nom,form_ungrammatical_erg,p_form_grammatical_dat,I_form_grammatical_dat,p_form_ungrammatical_nom,I_form_ungrammatical_nom,p_form_ungrammatical_erg,I_form_ungrammatical_erg,certainty
0,wiki_cultural_00812,6,"კულტურათა ურთიერთქმედება ეწოდება უშუალო კავშირურთიერთობის [MASK], რომელიც ყალიბდება, სულ მცირე, ორ კულტურას შორის, აგრეთვე ამ ურთიერთობათა შედეგად წარმოშობილ გავლენებსა და ორმხრივ ცვლილებებს.",სახეს,სახე,სახემ,0.0001934307376477046,12.335895311061796,0.00046952156117185967,11.056520969313672,2.269753789991694e-07,22.070960853577578,0.73
1,wiki_customs_00815,4,აზერბაიჯანის სახელმწიფო საბაჟო [MASK] (აზერ. Azərbaycan Respublikası Dövlət Gömrük Komitəsi) ეკისრება იმპორტ-ექსპორტის ოპერაციების საბაჟო კონტროლი და საბაჟო ორგანიზაციების ფუნქციები აზერბაიჯანის რესპუბლიკაში.,კომიტეტს,კომიტეტი,კომიტეტმა,1.2425653051689422e-09,29.584031176872738,3.6099807822046486e-09,28.045361697065463,8.840813556276425e-15,46.68474228677069,0.91
2,wiki_cybernetics_00837,3,"გამოყენებითი ეწოდება [MASK], რომელიც პრაქტიკულ საქმიანობაში და ტექნოლოგიური პროცესების განხორციელებისას იყენებს თეორიულ მეცნიერულ ცოდნას.",მეცნიერებას,მეცნიერება,მეცნიერებამ,8.621531511979539e-07,20.14555249460943,2.6386813944018226e-08,25.175607595045353,4.49735120706707e-11,34.37213349244041,0.87
3,wiki_cybernetics_00846,25,"ხელოვნური ინტელექტი (ინგლ. artificial intelligence, შემოკლებით AI) — კომპიუტერული მეცნიერების დარგი, რომელიც მიზნად ისახავს ინტელექტუალურ კომპიუტერულ მანქანის/პროგრამის შექმნას [MASK] ექნება უნარი მიაღწიოს ადამიანის ინტელექტის გაგებას.",რომელსაც,რომელიც,რომელმაც,0.34552624821662903,1.5331327844660678,0.006281919777393344,7.314578765342345,0.0005475424695760012,10.834741509318878,0.86
4,wiki_documentary_00893,2,მუშნის [MASK] აზრი ეკარგება და იგი ნოსტალგიით იტანჯება.,არსებობას,არსებობა,არსებობამ,9.803178366211033e-06,16.638318996652057,1.2945823073096111e-05,16.237153782221156,1.9440601479997227e-07,22.294423808499058,0.75
5,wiki_documentary_00900,1,[MASK] ეკუთვნის ასევე დოკუმენტური მოთხრობა „ახალი ბაღი“ (1936) და დაუმთავრებელი რომანი „ოქროს საწმისი“ (ნაწყვეტები გამოქვეყნდა 1941 წელს).,მას,იგი,მან,2.2981554159695615e-11,35.34073267821087,1.000000000000001e-12,39.86313713864835,1.5942909215027624e-09,29.224437941901805,1.0
6,wiki_education_00955,1,[MASK] საქართველოში დიდი ისტორია აქვს.,განათლებას,განათლება,განათლებამ,3.6028720842295994e-18,57.94555827650301,1.000000000000001e-12,39.86313713864835,4.259332854417157e-18,57.70407823127679,0.94
7,wiki_electricity_00985,6,"სადენების, ნათურისა და ბატარეის [MASK] ელექტრული წრედი ჰქვია.",მთლიანობას,მთლიანობა,მთლიანობამ,1.6144162216950943e-07,22.562484088345478,8.025139617762276e-10,30.214754457062224,1.8964935739322865e-12,38.939802655427336,0.73
8,wiki_energy_01027,16,"კინეტიკური ენერგიისა და პოტენციური ენერგიის გარჩევა მეცნიერებმა საკმაოდ დიდი ხნის წინ დაიწყეს, ჯერ კიდევ [MASK] ჰქონდა კონცეფციები ე.წ. აქტუალურობისა და პოტენციურობისა.",არისტოტელეს,არისტოტელე,არისტოტელემ,8.7734765247746e-13,40.051916603955576,6.13599638253301e-16,50.533551885895285,3.6092214115714246e-18,57.9430180583428,0.87
9,wiki_energy_01040,2,"იონიზაციის [MASK] ყოველთვის აქვს ენდოენერგეტიკული მნიშვნელობა (ეს გასაგებიცაა, რათა მოვწყვიტოთ ელექტრონი ატომს, საჭიროა მოვდოთ ენერგია მას, და თავისით ეს ვერ მოხდება).",ენერგიას,ენერგია,ენერგიამ,1.160280074838181e-09,29.682879760867237,1.5257177331198997e-09,29.287864774314038,6.328551213081576e-14,43.84511806525173,0.81
10,wiki_entomology_01079,1,"[MASK] აქვთ მღრღნელი (ახასიათებთ სწორფრთიანებს, ხეშეშფრთიანებს ანუ ხოჭოებს და სხვა) ან მწუწნავი (ახასიათებთ ქერცლფრთიანებს ანუ პეპლებს, ბუზებს) პირის აპარატი.",მწერებს,მწერები,მწერებმა,1.1610026526459851e-13,42.96969396507484,6.253565733519635e-14,43.86231429077999,2.846232594887203e-15,48.319867859204734,1.0
11,wiki_entomology_01084,1,"[MASK] ახასიათებთ მკვეთრი, ლამაზი შეფერილობა, უფრო ხშირად მბრწყინავი ლურჯი ან მწვანე ელფერი დაკრავთ.",ხოჭოებს,ხოჭოები,ხოჭოებმა,8.64254232459665e-18,56.683249944244906,5.878898137042763e-20,63.88301611703706,8.525656901656656e-22,69.99060708948475,1.0
12,wiki_entomology_01088,2,უკანა [MASK] ეკუთვნის მსხვილი და სწორი ნაწლავი.,ნაწლავს,ნაწლავი,ნაწლავმა,1.1610652383328151e-10,33.00383191174768,1.2342426326786567e-09,29.59372682047678,1.801236438317523e-12,39.01414957039723,0.93
13,wiki_epidemiology_01114,2,მსხვილმასშტაბიან [MASK] პანდემია ეწოდება.,ეპიდემიას,ეპიდემია,ეპიდემიამ,1.242439912835057e-13,42.87188915201056,2.760334880256101e-13,41.72022193001878,1.3884800096708086e-15,49.355415016882084,0.73
14,wiki_ethics_01132,2,"ეთიკის [MASK] არ გააჩნია კანონის ძალა და ემყარება ადამიანთა ჯგუფის მიერ დადგენილ წესებს, რომლებიც თავის მხრივ ითვალისწინებენ საზოგადოებაში დადგენილ მორალურ წესებს და საერთაშორისოდ აღიარებულ ნორმებს ამა თუ იმ სფეროში.",კოდექსს,კოდექსი,კოდექსმა,6.573418883011538e-08,23.85878083715804,3.74929188269696e-08,24.66880661516728,8.739458873728396e-13,40.057521279251134,0.74
15,wiki_ethnography_01166,1,"[MASK] ძველთაგანვე აინტერესებდათ მახლობელი თუ შორეული ხალხების ყოფის თავისებურებანი, მათი ზნე-ჩვეულებები და რწმენა-წარმოდგენები.",ადამიანებს,ადამიანები,ადამიანებმა,1.000000000000001e-12,39.86313713864835,1.000000000000001e-12,39.86313713864835,7.356307450051425e-20,63.55958012063533,1.0
16,wiki_farming_01204,5,"დიდი სასურსათო მნიშვნელობა აქვს [MASK], რომლისთვისაც ამრავლებენ საკვერცხე მიმართულების ქათმებს.",კვერცხს,კვერცხი,კვერცხმა,3.6021583801619693e-07,21.404635048972082,2.7548167193730643e-10,31.75732461078404,5.081786039915114e-11,34.19587340934798,0.68
17,wiki_finance_01239,2,"სახელმწიფო [MASK] ბიუჯეტის ფორმირების, განხილვის, დამტკიცების, შესრულების და შესრულების შესახებ ანგარიშის შედგენისა და დამტკიცების საქმეში ეწოდება საბიუჯეტო პროცესი.",ქმედებას,ქმედება,ქმედებამ,1.0905057190594946e-13,43.060067897452384,7.195636314143692e-13,40.33794296259955,6.678570376593937e-15,47.08938211272703,0.7
18,wiki_finance_01240,4,"ფინანსური ინფორმაციის ყველა [MASK], საკუთარი ინტერესებიდან გამომდინარე, სხვადასხვა სახის ინფორმაცია აინტერესებს, მაგრამ ბასს-ები ორიენტირებულნი არიან ინვესტორთა ინტერესებზე.",მომხმარებელს,მომხმარებელი,მომხმარებელმა,1.543439859043335e-05,15.983491205769706,0.16506510972976685,2.5988928888657368,1.58295895642606e-08,25.912800909895587,0.77
19,wiki_forestry_01244,2,მთის [MASK] უკავიათ მრავალი ქედის ფერდობი მთისწინეთიდან დაწყებული ალპურ სარტყლამდე და მთის ტუნდრამდე.,ტყეებს,ტყეები,ტყეებმა,2.3369714184656347e-07,22.028856574374085,2.145873481360959e-09,28.795787835298093,1.291541743210948e-10,32.850186676110546,0.81
20,wiki_general_01277,4,"გარდა ამისა, [MASK] აქვს უნარი წარმოქმნას მდგრადი გრძელი, სწორი და განტოტვილჯაჭვიანი ნაერთები.",ნახშირბადს,ნახშირბადი,ნახშირბადმა,9.569095531701209e-16,49.89246695018404,1.5744739858562728e-15,49.174051502474896,7.79155123009338e-18,56.83279512305274,0.96
21,wiki_geology_01367,1,[MASK] მრავალსაუკუნოვანი ისტორია აქვს.,გეოლოგიას,გეოლოგია,გეოლოგიამ,7.359439316267766e-21,66.88089413483769,1.3015753489726924e-19,62.73637497022453,9.572984576472662e-23,73.14537739746919,0.93
22,wiki_geophysics_01403,3,დედამიწის სეისმურობის [MASK] დიდი სახალხო-სამეურნეო მნიშვნელობა აქვს მშენებლობის რაციონალურად წარმართვისათვის (სეისმომედეგი ანუ ანტისეისმური მშენებლობა).,შესწავლას,შესწავლა,შესწავლამ,9.524559953143837e-06,16.67991612953527,1.0483923113254821e-05,16.541461796021515,1.2919368479281058e-08,26.205889208732458,0.78
23,wiki_history_01516,5,"არსებობს გარკვეული კრიტერიუმები, [MASK] სამეცნიერო ლიტერატურა უნდა აკმაყოფილებდეს.",რომელსაც,რომელიც,რომელმაც,0.06413785368204118,3.9626801137326972,0.01103978510946035,6.501144099590995,0.00023719875025562923,12.04161597086602,0.81
24,wiki_hydrogeology_01555,3,ამგვარ წყალშემცველ [MASK] არტეზიული აუზი ეწოდება.,სტრუქტურას,სტრუქტურა,სტრუქტურამ,2.88760137612078e-07,21.723625067549726,1.8465603165648665e-07,22.36865627630229,1.5108412100075223e-09,29.30200081331989,0.72
25,wiki_international_01699,1,"[MASK] რა თქმა უნდა აქვს გარკვეული ტრადიციებიც, რადგან მრავალი საუკუნის განმავლობაში იგი ვითარდებოდა, როგორც სხვა სოციალური მეცნიერებების შემადგენელი ნაწილი.",თეორიას,თეორია,თეორიამ,5.031549524269764e-18,57.46370294477638,1.4795505008115976e-16,52.58569057798429,6.777272619913906e-20,63.677857091842206,1.0
26,wiki_metaphysics_02053,13,"ახლა მეცნიერული ცოდნის გაღრმავებისა და დიფერენციაციის გამო იგი დაიშალა მრავალ დარგებად, [MASK] ერთმანეთთან არანაირი კავშირი არ აქვთ.",რომლებსაც,რომლებიც,რომლებმაც,0.43875133991241455,1.1885245635851636,0.05803977698087692,4.106814213946929,0.0038389156106859446,8.025085438304536,0.9
27,wiki_mineralogy_02114,3,"მინერალთა რეალურ [MASK] ახასიათებს დეფექტები და დისლოკაციები, გარკვეული მოუწესრიგებლობა.",სტრუქტურას,სტრუქტურა,სტრუქტურამ,1.5271525780023077e-09,29.28650864481114,1.4495106343820042e-12,39.32757122083103,2.858732677167971e-14,44.991617609942516,0.79
28,wiki_marketing_01923,7,"გაცვლა ხორციელდება გარკვეული წესების დაცვით, [MASK] ჰქვია გარიგება.",რომელსაც,რომელიც,რომელმაც,0.0751340314745903,3.7343896745937286,0.00032098728115670405,11.6051962466121,7.285171250259742e-06,17.06660568365118,0.88
29,wiki_music_02167,1,[MASK] ფესვები 1940 და 1950-იანების როკ-ენ-როლიდან აქვს.,მას,იგი,მან,5.8763603760780865e-08,24.020501885185954,4.090761063224593e-10,31.186911675389517,2.745269398474195e-07,21.7965489336433,1.0
30,wiki_novel_02186,9,"რომანი — დიდი მოცულობის თხრობითი ლიტერატურული ნაწარმოები, [MASK] ახასიათებს რთული სიუჟეტი.",რომელსაც,რომელიც,რომელმაც,0.8920190930366516,0.16485350454615957,0.008659797720611099,6.851450958425969,1.1466881915112024e-05,16.412167328694252,0.95
31,wiki_novel_02201,1,"[MASK] მნიშვნელოვანი ადგილი უკავია თანამედროვე ლიტერატურაში, მაშინ, როდესაც ანტიკური ხანის ეპოქაში იგი ერთ-ერთი მეორეხარისხოვანი ჟანრთაგანი იყო.",რომანს,რომანი,რომანმა,1.21520243849743e-12,39.5819404686952,2.149858387755866e-13,42.08082360163306,4.2426481792800705e-15,47.743956374908606,1.0
32,wiki_novel_02206,1,[MASK] გამოკვეთილ ლაიტმოტივად გასდევს რუსეთის იმპერიის როლის საკითხი რიცხოვნებით მცირე ერების ცხოვრებაში.,რომანს,რომანი,რომანმა,3.0677515716221594e-13,41.567883576281666,1.1193332955249742e-14,46.344353647600016,2.1839621518804175e-14,45.380045473890384,0.99
33,wiki_paleogeography_02287,1,[MASK] ევალება გადამწერთა სოციალური და პროფესიული შემადგენლობის შესწავლაც.,მას,იგი,მან,2.299765401403419e-05,15.408153774786346,5.703705596715732e-07,20.741597146861647,1.6029585822252567e-05,15.928903325295057,0.98
34,wiki_psychology_02623,6,"ფროიდი გვაფრთხილებს, რომ ფსიქოანალიზის [MASK] აუცილებლად თან სდევს არასრულფასოვნების განცდის გაცნობიერება და ასევე საკუთარი აზროვნების წინააღმდეგობრივი დამოკიდებულება მისდამი.",შესწავლას,შესწავლა,შესწავლამ,2.208049968961446e-06,18.788795748133293,2.2479556592766152e-06,18.76295499051473,3.5705426326781307e-10,31.383137604595795,0.9
35,wiki_psychology_02629,3,ფსიქოლოგია მარტო [MASK] აქვს.,ადამიანს,ადამიანი,ადამიანმა,1.1311291927995633e-05,16.43187675716324,7.0946725827525395e-06,17.104832463493423,5.774260436160843e-10,30.68964477003469,0.72
36,wiki_sinology_02690,2,კონფუცის [MASK] ჰყავს მაღალკვალიფიციური ქართველი და ჩინელი პედაგოგები.,ინსტიტუტს,ინსტიტუტი,ინსტიტუტმა,4.3819830511519435e-07,21.12191275999895,5.477146623888985e-05,14.156215972429663,2.2978893548880785e-12,38.66282780585026,0.67
37,wiki_sociolinguistics_02696,9,"სლენგი — მეტყველების არაფორმალური, არასტანდარტული სახეობა, [MASK] ახასიათებს ახლად გამოგონებული ან ახალი მნიშვნელობით ნახმარი სიტყვები და გამონათქვამები.",რომელსაც,რომელიც,რომელმაც,0.8498700857162476,0.2346857724811983,0.000915711454581469,10.092819310292699,6.346641043819551e-07,20.587503415878846,0.95
38,wiki_sociology_02723,1,"[MASK] აინტერესებს ჩვენი ქმედება როგორც სოციალური არსებებისა; ამგვარად სოციოლოგიური ინტერესის სფერო მოიცავს, როგორც ანონიმურ ინდივიდუმთა მოკლე კონტაქტს ქუჩაში, ასევე გლობალურ სოციალურ პროცესთა შესწავლას.",სოციოლოგიას,სოციოლოგია,სოციოლოგიამ,4.1528172419491696e-24,77.67218389456245,4.195219747721299e-24,77.6575278955602,1.7039388364557561e-28,92.24511310645003,1.0
