Index,sentence_id,match_id,masked_text,form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,p_form_grammatical_nom,I_form_grammatical_nom,p_form_ungrammatical_dat,I_form_ungrammatical_dat,p_form_ungrammatical_erg,I_form_ungrammatical_erg,certainty
0,wiki_electricity_00993,6,"დამუხტული სხეულების ურთიერთქმედებას სწავლობს ფიზიკის [MASK] კლასიკური ელექტროდინამიკა, რომელიც სამართლიანია მანამ, სანამ კვანტური ეფექტები უმნიშვნელოა.",დარგი,დარგს,დარგმა,2.7965058425015142e-05,15.126015130010277,5.204393595855526e-05,14.229910400675456,1.8213115422687061e-06,19.066590847425164,0.8
1,wiki_engineering_01049,2,კომპიუტერული [MASK] უმეტესად სწავლობენ ელექტრო და პროგრამულ ინჟინერიას.,ინჟინრები,ინჟინრებს,ინჟინრებმა,4.0798555124406604e-11,34.51269098351922,5.802973199915076e-12,37.32634487259335,3.661818584296029e-14,44.63443301025879,0.73
2,wiki_environment_01095,1,"[MASK] თავისი სამეურნეო საქმიანობით (ტყის გაშენებით ან გაჩეხვით, ჭაობების ამოშრობით, უდაბნოების მორწყვით და ა.შ.) სახეს უცვლის (გარკვეული ტერიტორიის ფარგლებში) ჰავას, რომელზედაც განსაკუთრებით უარყოფითად მოქმედებს ატმოსფეროს დაჭუჭყიანება.",ადამიანი,ადამიანს,ადამიანმა,9.445509618899445e-08,23.33579612184739,7.920549194295753e-08,23.58982429187262,1.1220381398298032e-13,43.018943517296556,1.0
3,wiki_epidemiology_01113,1,"[MASK] „ეპიდემია“ გულისხმობს ინფეცქიური დაავადებების (გადამდები) სწრაფ მატებას ან იმ ახალი დაავადებების გავრცელებას, რომლებიც მანამდე არ გვხვდებოდა მოცემულ ტერიტორიაზე.",ტერმინი,ტერმინს,ტერმინმა,8.89497941336886e-14,43.354002061914905,2.5291826542177776e-17,55.13410638279867,4.762927652406676e-17,54.22092897836744,1.0
4,wiki_ethics_01132,15,"ეთიკის კოდექსს არ გააჩნია კანონის ძალა და ემყარება ადამიანთა ჯგუფის მიერ დადგენილ წესებს, [MASK] თავის მხრივ ითვალისწინებენ საზოგადოებაში დადგენილ მორალურ წესებს და საერთაშორისოდ აღიარებულ ნორმებს ამა თუ იმ სფეროში.",რომლებიც,რომლებსაც,რომლებმაც,0.8631489276885986,0.21231859144953336,0.0013163815951694427,9.56920652381295,1.0403674382935152e-06,19.874475418090576,0.94
5,wiki_ethics_01145,2,"ღირსების [MASK] მოქმედების მორალურ ღირებულებას პიროვნების ეთიკური გადმოსახედიდან აფასებს, არა როგორც დეონტოლოგია, კონსეკვენციალიზმი, ან პრაგმატული ეთიკა.",ეთიკა,ეთიკას,ეთიკამ,2.0698009730525776e-05,15.560148426033328,4.069114642295496e-08,24.550709831958034,2.3362570852373325e-08,25.351225719817062,0.86
6,wiki_ethnography_01152,3,"ამ სკოლის [MASK] კაცობრიობის კულტურას განიხილავდნენ როგორც პროგრესული განვითარების ერთიან, კანონზომიერ პროცესს.",წარმომადგენლები,წარმომადგენლებს,წარმომადგენლებმა,1.8063552301661364e-13,42.331983598522136,2.8997663507477455e-15,48.29298476382798,6.980592018040944e-18,56.99135631261597,0.75
7,wiki_ethnography_01165,1,[MASK] წარმოადგენს საქართველოს მინიატურულ მოდელს და ასახავს მის მრავალფეროვან ეთნოკულტურას.,მუზეუმი,მუზეუმს,მუზეუმმა,7.510024097880432e-16,50.242031981185704,5.8833523291912376e-18,57.23806727220463,8.603397818670727e-20,63.33365534862791,1.0
8,wiki_history_01498,10,"სამეცნიერო დაწესებულება არის მეცნიერთა და სხვა პირთა გაერთიანება, [MASK] სამეცნიერო კვლევებს აწარმოებენ.",რომლებიც,რომლებსაც,რომლებმაც,0.1180773824453354,3.082195449871933,0.0037441400969917566,8.06114986644648,3.39680605380317e-05,14.84546162690094,0.73
9,wiki_industry_01633,3,თურქეთის საავტომობილო [MASK] მნიშვნელოვან როლს თამაშობს ქვეყნის ეკონომიკის საწარმოო სექტორში.,მრეწველობა,მრეწველობას,მრეწველობამ,7.357734304738313e-10,30.34001936880592,1.8239950921960466e-11,35.67410719609712,1.4380818365614906e-10,32.69513517167638,0.73
