Index,sentence_id,match_id,masked_text,form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,p_form_grammatical_nom,I_form_grammatical_nom,p_form_ungrammatical_erg,I_form_ungrammatical_erg,p_form_ungrammatical_dat,I_form_ungrammatical_dat,certainty
0,wiki_cultural_00807,2,"ეს [MASK] ფილოსოფიურად განაზოგადა ჰეგელმა, რომლის მოღვაწეობა საფუძვლად დაედო კ. შნააზეს ისტორიად გააზრებულ მსოფლიო ხელოვნების ისტორიას.",წარმოდგენა,წარმოდგენას,წარმოდგენამ,3.86381573473625e-12,37.91311084492006,7.629253031123527e-14,43.57545151658575,2.2707654646212027e-12,38.67995843326457,0.75
1,wiki_cybernetics_00852,12,"შეისწავლის შემეცნებით ფსიქიკურ პროცესებს, ფსიქოლოგიის ამ მიმართულების დაფუძნებას და გავრცელებას [MASK] შეუწყო კიბერნეტიკისა და ინფორმატიკის განვითარებამ.",ხელი,ხელს,ხელმა,5.3148048200489424e-05,14.199623762984825,2.6748450244259113e-08,25.155969452246442,7.239036437995761e-06,17.075770891164634,0.76
2,wiki_electrochemistry_01010,7,1838 რუსმა ფიზიკოსმა იაკობიმ აღმოაჩინა გალვანოპლასტიკის [MASK].,მოვლენები,მოვლენებს,მოვლენებმა,3.4717373699165554e-08,24.779766944222597,1.0261863786359015e-12,39.825844357884435,3.533994517064738e-11,34.71990924218771,0.73
3,wiki_electrochemistry_01013,7,1888–89 გერმანელმა ფიზიკოსმა და ქიმიკოსმა ნერნსტმა [MASK] ჩაუყარა გალვანური ელემენტის ემძ-ის თეორიას.,საფუძველი,საფუძველს,საფუძველმა,3.180183358994288e-13,41.515955284540034,6.078245064540519e-22,70.47876324446995,7.831155807280793e-20,63.46933664586644,0.85
4,wiki_energy_01034,1,"[MASK] „ბნელი მატერია“ ასტროფიზიკოსმა მაიკლ ტერნერმა დაამკვიდრა, როდესაც 1998 წელს ასტრონომებმა განაცხადეს, რომ სიჩქარე, რომლითაც სამყარო ფართოვდებოდა, როგორც ჩანს, აჩქარებას უნდა განიცდიდეს.",ტერმინი,ტერმინს,ტერმინმა,4.195531637825155e-13,41.11621159982958,9.78742479035557e-16,49.85992020187309,1.1027272413089468e-14,46.365917342819095,1.0
5,wiki_ethics_01128,4,უფრო ადრე ეთიკის [MASK] გაარჩია პლატონმა.,საკითხები,საკითხებს,საკითხებმა,9.102031541063387e-13,39.998876647882554,4.994667447926407e-14,44.18660470389867,3.689666230803072e-13,41.30157491831891,0.7
6,wiki_ethics_01131,4,მანვე შემოგვინახა არსებითი [MASK] სოკრატეს ეთიკურ შეხედულებებზე.,ცნობები,ცნობებს,ცნობებმა,7.844351054763141e-06,16.959914468058148,1.3396991620974304e-13,42.763156162761,2.485130521226139e-08,25.262103133717495,0.72
7,wiki_farming_01202,10,"მეცხოველეობის წარმოშობა იმ პერიოდს უკავშირდება, როდესაც ადამიანმა გარეული [MASK] მოიშინაურა და სამეურნეო მიზნით გამოიყენა.",ცხოველები,ცხოველებს,ცხოველებმა,1.0162664635202253e-08,26.55214603494463,4.35875553767981e-14,44.3830770365153,8.208980433453029e-10,30.18207790043239,0.68
8,wiki_forestry_01258,4,დედამიწის თანამედროვე ტყის [MASK] მნიშვნელოვნად შეცვალა ადამიანის ჩარევამ.,საფარი,საფარს,საფარმა,4.622233691024667e-10,31.010690747406557,6.389291003551188e-11,33.86555319434309,3.6175330408479776e-12,38.00813094493217,0.76
9,wiki_geology_01375,3,ზღვის გეოლოგიას [MASK] ჩაუყარა 1872-1876 წლებში გემ „ჩელინჯერით“ ჩატარებულმა ინგლისურმა ოკეანოგრაფიულმა ექსპედიციამ.,საფუძველი,საფუძველს,საფუძველმა,2.3760033086203522e-15,48.58038457819581,8.891615631108102e-24,76.57382869275092,1.7994648698605994e-21,68.91292205518032,0.93
10,wiki_hydrology_01568,2,"პრაქტიკული [MASK] ჰპოვა სელური მოვლენებისა და მდინარეთა მყარი ჩამონადენის შესწავლამ (ი. ხერხეულიძე, მ. გაგოშიძე, გ. ხმალაძე და სხვ).",გამოყენება,გამოყენებას,გამოყენებამ,0.001188144505210861,9.717073973546283,2.4643682324830566e-05,15.308422630950654,0.0006743238404992693,10.534270774969537,0.96
11,wiki_hydrology_01572,3,"დედამიწის ბუნებრივი [MASK] მხოლოდ ადამიანთა საზოგადოების გაჩენამ (ადრინდელი პალეოლითი) აქცია გეოგრაფიულ გარემოდ და ისიც მხოლოდ იმ ტერიტორიაზე, სადაც საზოგადოება ცხოვრობდა.",გარემო,გარემოს,გარემომ,5.763175898318205e-08,24.04856070610019,4.735484858828981e-10,30.97576880034652,6.364781952301461e-09,27.2272417635394,0.75
12,wiki_industry_01622,13,"1913 წელს უკვე ფუნქციონირებდა 5 ფაბრიკა, რომლებმაც გამოიმუშავა 131 ტ ბაიხაოს [MASK].",ჩაი,ჩაის,ჩაიმ,2.699054119760472e-07,21.821042759089895,2.7018428728377433e-10,31.78533717249618,7.349959207881891e-08,23.697688516054633,0.81
13,wiki_irrigation_01719,7,"2008 წლის აგვისტოს ომის შემდეგ არხის [MASK] ე.წ. სამხრეთ ოსეთის დე ფაქტო ხელისუფლებამ გადაკეტა, რის შედეგადაც მრავალი სოფელი სარწყავი წყლის გარეშე დარჩა.",სათავე,სათავეს,სათავემ,1.913553801007991e-09,28.96109838995071,1.1605795293405862e-11,36.32636365623242,1.6739872877675525e-09,29.154064281859263,0.74
14,wiki_literature_01851,2,"ლიტერატურული [MASK], რომელსაც ევალება მწერალთათვის ყოველნაირი მატერიალურ-საყოფაცხოვრებო დახმარების აღმოჩენა, 1927 წელს ხელახლა ჩამოაყალიბა საბჭოთა მწერლების გაერთიანებათა ფედერაციამ, ხოლო 1934 — სსრკ მწერალთა კავშირმა.",ფონდი,ფონდს,ფონდმა,2.045638359581557e-08,25.542873639897117,3.4143633320157314e-10,31.447664361097686,7.587524334440729e-10,30.295651710537175,0.95
15,wiki_marketing_01927,11,"გამოკვლევების მიხედვით, აშშ-ის ფირმებმა 2011 წელს 1.51 მილიარდი აშშ [MASK] დახარჯეს E-mail მარკეტინგზე.",დოლარი,დოლარს,დოლარმა,1.1257117155982684e-06,19.760731155518027,2.2149912704635823e-10,32.07197993590991,2.9257245582811876e-08,25.026630805448455,0.86
16,wiki_marketing_01928,3,"ღია ვაჭრობამ [MASK] კიდევ ერთხელ 1920-იან წლებში დაიწყო, თუმცა დიდი დეპრესიის დროს კოლაფსი განიცადა (კონკრეტულად, ევროპასა და ჩრდილოეთ ამერიკაში).",ზრდა,ზრდას,ზრდამ,5.283560912305228e-07,20.851986087097107,8.064780038657208e-09,26.885717668586246,8.675898741638765e-08,23.45841154400804,0.73
17,wiki_mechanics_01979,3,მექანიკამ დასრულებული [MASK] მიიღო ისააკ ნიუტონის შრომებში.,სახე,სახეს,სახემ,6.221081224916056e-07,20.616331321433936,2.707643018446231e-10,31.782243405479992,1.8976223819423605e-09,28.973159922691845,0.8
18,wiki_medicine_02020,19,"ბუნებისმეტყველებისა და ტექნიკის მიღწევებმა, კლინიკურ-ანატომიური და კლინიკურ-ექსპერიმენტული მიმართულებების განვითარებამ, ავადმყოფობის კვლევის ობიექტურმა მეთოდებმა განაპირობებს მეცნიერული მედიცინის [MASK].",ჩამოყალიბება,ჩამოყალიბებას,ჩამოყალიბებამ,1.888088817422172e-13,42.268138601547484,1.1032155505943474e-13,43.04335053563279,2.500429937292114e-12,38.54096095773297,0.81
19,wiki_metallurgy_02045,4,ლითონმცოდნეობის დამოუკიდებელ მეცნიერებად [MASK] განაპირობა ტექნიკურმა მოთხოვნებმა.,ჩამოყალიბება,ჩამოყალიბებას,ჩამოყალიბებამ,6.517826736554125e-13,40.48067423212455,1.1147535209848872e-13,43.02834047707796,1.7669664896829038e-13,42.36379055393295,0.81
20,wiki_metaphysics_02067,6,"პარმენიდემ ვერ შეძლო ბუნების მრავალფეროვნების [MASK], არსის მეტაფიზიკა დაუპირისპირა ფიზიკას, როგორც ბუნების ფილოსოფიას.",ახსნა,ახსნას,ახსნამ,5.155776537012182e-08,24.209235023702433,5.659591817474191e-11,34.04051103737186,4.68149668405408e-08,24.34845492299404,0.79
21,wiki_mineralogy_02109,8,1635 წელს იტალიელმა მეცნიერმა ბ. ცეზიუსმა შემოიღო [MASK] „მინერალოგია“.,ტერმინი,ტერმინს,ტერმინმა,1.520523486889833e-06,19.327000468076946,2.3015856932660524e-10,32.01665279049673,3.6698436521079343e-09,28.021634253351923,0.77
22,wiki_mineralogy_02115,5,მინერალოგიური შინაარსის უძველესი წერილობითი [MASK] - ეპიფანე კვიპრელის (319-403) მინერალოგიური ტრაქტატის თარგმანი „თვალთა“ — შემოგვინახა „შატბერდის კრებულმა“ (X ს.).,წყარო,წყაროს,წყარომ,1.5274103821195465e-09,29.286265118829057,1.9342157473660237e-12,38.911388412967426,8.696424272982821e-12,36.74271481171495,0.81
23,wiki_molecular_02137,18,50-იანი წლების ბოლოს ინგლისელმა მეცნიერმა ჯ. კენდრიუმ და მ. პერუციმ რენტგენოსტრუქტურული ანალიზით დაადგინეს მიოგლობინისა და ჰემოგლობინის სამგანზომილებიანი [MASK].,სტრუქტურა,სტრუქტურას,სტრუქტურამ,9.706573178019008e-06,16.652606514840233,4.518785251910445e-08,24.39948976225052,4.452053510867981e-07,21.09902573114534,0.68
24,wiki_morphology_02147,1,"[MASK] „მორფოლოგია“ მეცნიერებაში დაამკვიდრა იოჰან ვოლფგანგ ფონ გოეთემ[1], როდესაც გამოაქვეყნა შრომა სახელწოდებით „მცენარეთა მეტამორფოზების ახსნის ცდა“.",ტერმინი,ტერმინს,ტერმინმა,1.47661072140079e-13,42.622775694722584,2.169505919301612e-16,52.03348299577422,6.6817284847991356e-15,47.088700064042584,1.0
25,wiki_morphology_02161,2,გეომორფოლოგიური [MASK] (მორფოლოგიური ანალიზი) შემოგვთავაზა გერმანელმა გეოლოგმა და გეომორფოლოგმა ვალტერ პენკმა 1924 წელს.,ანალიზი,ანალიზს,ანალიზმა,0.004838446000739112,7.691240523736596,4.4392956670057623e-05,14.459309675862155,1.9418313127065095e-05,15.65222259545727,0.82
