Index,sentence_id,match_id,masked_text,form_grammatical_dat,form_ungrammatical_nom,form_ungrammatical_erg,p_form_grammatical_dat,I_form_grammatical_dat,p_form_ungrammatical_nom,I_form_ungrammatical_nom,p_form_ungrammatical_erg,I_form_ungrammatical_erg
0,wiki_cultural_00812,6,"კულტურათა ურთიერთქმედება ეწოდება უშუალო კავშირურთიერთობის [MASK], რომელიც ყალიბდება, სულ მცირე, ორ კულტურას შორის, აგრეთვე ამ ურთიერთობათა შედეგად წარმოშობილ გავლენებსა და ორმხრივ ცვლილებებს.",სახეს,სახე,სახემ,-233.50724893681996,233.50724893681996,-237.8380100745215,237.8380100745215,-244.05143031232092,244.05143031232092
1,wiki_customs_00815,4,აზერბაიჯანის სახელმწიფო საბაჟო [MASK] (აზერ. Azərbaycan Respublikası Dövlət Gömrük Komitəsi) ეკისრება იმპორტ-ექსპორტის ოპერაციების საბაჟო კონტროლი და საბაჟო ორგანიზაციების ფუნქციები აზერბაიჯანის რესპუბლიკაში.,კომიტეტს,კომიტეტი,კომიტეტმა,-195.6299491032137,195.6299491032137,-203.8252474686347,203.8252474686347,-201.68658350080548,201.68658350080548
2,wiki_cybernetics_00837,3,"გამოყენებითი ეწოდება [MASK], რომელიც პრაქტიკულ საქმიანობაში და ტექნოლოგიური პროცესების განხორციელებისას იყენებს თეორიულ მეცნიერულ ცოდნას.",მეცნიერებას,მეცნიერება,მეცნიერებამ,-126.1081900226241,126.1081900226241,-125.62510790064836,125.62510790064836,-138.90153535417343,138.90153535417343
3,wiki_cybernetics_00846,25,"ხელოვნური ინტელექტი (ინგლ. artificial intelligence, შემოკლებით AI) — კომპიუტერული მეცნიერების დარგი, რომელიც მიზნად ისახავს ინტელექტუალურ კომპიუტერულ მანქანის/პროგრამის შექმნას [MASK] ექნება უნარი მიაღწიოს ადამიანის ინტელექტის გაგებას.",რომელსაც,რომელიც,რომელმაც,-202.43749015890336,202.43749015890336,-213.64725038579206,213.64725038579206,-212.8475807296283,212.8475807296283
4,wiki_documentary_00893,2,მუშნის [MASK] აზრი ეკარგება და იგი ნოსტალგიით იტანჯება.,არსებობას,არსებობა,არსებობამ,-116.61696117638294,116.61696117638294,-115.57786380243014,115.57786380243014,-126.70992345722254,126.70992345722254
5,wiki_documentary_00900,1,[MASK] ეკუთვნის ასევე დოკუმენტური მოთხრობა „ახალი ბაღი“ (1936) და დაუმთავრებელი რომანი „ოქროს საწმისი“ (ნაწყვეტები გამოქვეყნდა 1941 წელს).,მას,იგი,მან,-142.02696070257508,142.02696070257508,-148.75075141245077,148.75075141245077,-135.66998171202405,135.66998171202405
6,wiki_education_00955,1,[MASK] საქართველოში დიდი ისტორია აქვს.,განათლებას,განათლება,განათლებამ,-39.423561226356284,39.423561226356284,-40.350759143012084,40.350759143012084,-50.800766203863645,50.800766203863645
7,wiki_electricity_00985,6,"სადენების, ნათურისა და ბატარეის [MASK] ელექტრული წრედი ჰქვია.",მთლიანობას,მთლიანობა,მთლიანობამ,-112.92277125690337,112.92277125690337,-120.4188027565516,120.4188027565516,-128.06123154081791,128.06123154081791
8,wiki_energy_01027,16,"კინეტიკური ენერგიისა და პოტენციური ენერგიის გარჩევა მეცნიერებმა საკმაოდ დიდი ხნის წინ დაიწყეს, ჯერ კიდევ [MASK] ჰქონდა კონცეფციები ე.წ. აქტუალურობისა და პოტენციურობისა.",არისტოტელეს,არისტოტელე,არისტოტელემ,-204.3454986612413,204.3454986612413,-202.48413277070497,202.48413277070497,-201.06504465147188,201.06504465147188
9,wiki_energy_01040,2,"იონიზაციის [MASK] ყოველთვის აქვს ენდოენერგეტიკული მნიშვნელობა (ეს გასაგებიცაა, რათა მოვწყვიტოთ ელექტრონი ატომს, საჭიროა მოვდოთ ენერგია მას, და თავისით ეს ვერ მოხდება).",ენერგიას,ენერგია,ენერგიამ,-278.88085507935256,278.88085507935256,-279.5378162386252,279.5378162386252,-295.45771332807203,295.45771332807203
